NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuild,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Dinaledi_Schools,Quids_Up_School,NEIMSEMISN,DEM_CHKS,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
300041401,41401,3,NC,A.J. FERREIRA SEKONDÊRE SKOOL,A.J. FERREIRA,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,2041401,2041401,H/skool A J Ferreira,21.20117,-28.45136,NEIMS 2007,2,GORDONIA,DC8,SIYANDA DISTRICT MUNICIPALITY,NC083,KHARA HAIS LOCAL MUNICIPALITY,30803001,0,31711016,ROSEDALE EXT 1,NOT APPLICABLE,SIYANDA,NOTAPPLICABLE,F.W,CLARKE,,UILSBERG,STREET, UILSBERG STREET,,ROSEDALE,UPINGTON,8800," UILSBERG STREET,,ROSEDALE,UPINGTON,8800",P.O.BOX 1829,UPINGTON,8800,"P.O.BOX 1829,UPINGTON,8800",0543391848,URBAN,YES,ABCD,4,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,FALSE,FALSE,NC41401,0,TO BE UPDATED,1140,40,1243,38,1101,40,1175,37,TRUE,3,2,5
105000798,0105000798,1,WC,ABBOTT'S COLLEGE,ABBOTT'S,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,TO BE UPDATED,INDEPENDENT,TO BE UPDATED,9901,1329901,ABBOTT`S COLLEGE,18.47155,-33.984501,TELKOM 2009,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100058,58,17106044,CLAREMONT,NOT APPLICABLE,METROPOLE CENTRAL,CIRCUIT2,MR. G.S,FILLMORE,7,GREENWOOD,ROAD,7 GREENWOOD ROAD,,,CLAREMONT,7740,"7 GREENWOOD ROAD,CLAREMONT,7740",P.O.BOX 2317,CLAREINCH,7740,"P.O.BOX 2317,CLAREINCH,7740",0216711173,URBAN,NO,NONE,99,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,349,37,350,38,381,40,327,40,TRUE,15,30,45
200100003,100003,2,EC,ABERDEEN P PUBLIC SCHOOL,ABERDEEN,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,24.06113,-32.47425,NEIMS 2007,249,ABERDEEN,DC10,CACADU DISTRICT MUNICIPALITY,EC101,CAMDEBOO LOCAL MUNICIPALITY,21001001,0,20101000,NONE,NOT APPLICABLE,GRAAFF-REINET,CIRCUIT2,F,PIENAAR,8,PARLEMENT,STREET,8 PARLEMENT STREET,,,ABERDEEN,6270,"8 PARLEMENT STREET,ABERDEEN,6270",P.O.BOX 62,ABERDEEN,6270,"P.O.BOX 62,ABERDEEN,6270",0498460031,URBAN,YES,ABCD,4,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-12,NO,FALSE,FALSE,EC100003,0,TO BE UPDATED,353,13,370,12,339,11,331,11,TRUE,21,6,27
440304161,40304161,4,FS,ACCELERATED CHRISTIAN COLLEGE PI/S,ACCELERATED,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,INDEPENDENT,INDEPENDENT,3171001,,A.C. COLLEGE,26.253097,-29.090178,FSED 2007,308,BLOEMFONTEIN,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702021,21,40502039,NOORDHOEK,NOT APPLICABLE,MOTHEO,CIRCUIT2,A,VAN DER LINDE,,RUDOLFGREYLING,STREET, RUDOLFGREYLING STREET,,NOORDHOEK,BLOEMFONTEIN,9310," RUDOLFGREYLING STREET,,NOORDHOEK,BLOEMFONTEIN,9310",P.O.BOX 29480,DANHOF,9330,"P.O.BOX 29480,DANHOF,9330",0514083846,URBAN,No,NONE,99,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,370,15,421,16,388,15,390,14,TRUE,1,,1
440304267,40304267,4,FS,ACCELERATED CHRISTIAN COLLEGE SI/S,ACCELERATED,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,INDEPENDENT,INDEPENDENT,3171018,3171001,NOT APPLICABLE,26.254997,-29.094711,FSED 2007,308,BLOEMFONTEIN,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702017,17,40502041,OOS EINDE,NOT APPLICABLE,MOTHEO,CIRCUIT2,A,VAN DER LINDE,,RUDOLF GREYLING,RUDOLF GREYLING, RUDOLF GREYLING RUDOLF GREYLING,LANGENHOVENPARK,LINQUINDA,BLOEMFONTEIN,9310," RUDOLF GREYLING RUDOLF GREYLING,LANGENHOVENPARK,LINQUINDA,BLOEMFONTEIN,9310",P.O.BOX 29480,DANHOF,9330,"P.O.BOX 29480,DANHOF,9330",0514471727,URBAN,No,NONE,99,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,169,8,181,9,187,7,196,8,TRUE,1,4,5
800030452,800030452,8,MP,ACEK ACADEMY SECONDARY SCHOOL,ACEK,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,INDEPENDENT,TO BE UPDATED,6604146,6241992,Acek Academy,31.010182,-25.325071,GEOCODE 2010 GOOGLE EARTH,TO BE UPDA,NEBO,DC32,EHLANZENI DISTRICT MUNICIPALITY,MP322,MBOMBELA LOCAL MUNICIPALITY,83202030,30,TO BE UPDA,TO BE UPDATED,EHLANZENI,NOT APPLICABLE,WHITERIVER,A.B,CHALWE,,,,,,WHITE RIVER AH EXT 2,WHITERIVER,1240,"WHITE RIVER AH EXT 2,WHITERIVER,1240",P.O.BOX 3736,WHITERIVER,1240,"P.O.BOX 3736,WHITERIVER,1240",0137513407,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,99,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-02,NO,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,427,11,509,17,TRUE,2,11,13
200100012,100012,2,EC,ADELAIDE GYMNASIUM,ADELAIDE GYMNASIUM,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,517033,4171044,ADELAIDE GYMNASIUM,26.29476,-32.71036,ECED2007,244,ADELAIDE,DC12,AMATOLE DISTRICT MUNICIPALITY,EC128,NXUBA LOCAL MUNICIPALITY,21208001,0,21701000,NONE,NOT APPLICABLE,FORT BEAUFORT,CIRCUIT8,J,STROEBEL,,WELSH ADELAIDE,STREET, WELSH ADELAIDE STREET,,LINGELETHU,ADELAIDE,5760," WELSH ADELAIDE STREET,LINGELETHU,ADELAIDE,5760",PRIVATE BAG X311,ADELAIDE,5760,"PRIVATE BAG X311,ADELAIDE,5760",0466840006,URBAN,YES,ABCD,4,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-79,NO,FALSE,FALSE,EC100012,0,TO BE UPDATED,475,19,474,20,451,20,443,21,TRUE,91,84,175
200100013,100013,2,EC,ADELAIDE P SCHOOL,ADELAIDE,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.29388,-32.70782,NEIMS 2007,244,ADELAIDE,DC12,AMATOLE DISTRICT MUNICIPALITY,EC128,NXUBA LOCAL MUNICIPALITY,21208001,0,21701000,NONE,NOT APPLICABLE,FORT BEAUFORT,CIRCUIT8,D.S,VAN HEERDEN,,GREY,STREET, GREY STREET,,LINGELETHU,ADELAIDE,5760," GREY STREET,LINGELETHU,ADELAIDE,5760",P.O.BOX 7,ADELAIDE,5760,"P.O.BOX 7,ADELAIDE,5760",0466840161,URBAN,YES,ABCD,4,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-06,NO,FALSE,FALSE,EC100013,0,TO BE UPDATED,264,10,248,11,270,10,277,10,TRUE,42,40,82
700133652,133652,7,GT,ADELAIDE TAMBO SCHOOL,ADELAIDE TAMBO,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,Physical disability,PUBLIC,PUBLIC,133652,8133652,ADELAIDE TAMBO (J C MERKIN WHITE CITY,27.8761933338,-26.2490533337,GDE2009,199,RANDFONTEIN,DC48,WEST RAND DISTRICT MUNICIPALITY,GT482,RANDFONTEIN LOCAL MUNICIPALITY,79400035,35,60319023,RUSTENBURG NU,NOT APPLICABLE,JOHANNESBURG CENTRAL,NOTAPPLICABLE,MR. N.H,MEMANI,3133B,DIOKANE,DRIVE,3133B DIOKANE DRIVE,,WHITE CITY,JABAVU,,"3133B DIOKANE DRIVE,WHITE CITY,JABAVU,",P.O.Box 82424,SOUTHDALE,2135,"P.O.Box 82424,SOUTHDALE,2135",0119844000,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,25-Jan-00,0,FALSE,FALSE,GP133652,0,TO BE UPDATED,376,28,355,28,371,35,373,32,TRUE,47,65,112
444306220,44306220,4,FS,ADELINE MEJE P/S,ADELINE MEJE,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,26.941651,-27.185962,FSED 2007,264,VILJOENSKROON,DC20,FEZILE DABI DISTRICT MUNICIPALITY,FS201,MOQHAKA LOCAL MUNICIPALITY,42001023,23,41705000,RAMMULUTSI SP,NOT APPLICABLE,FEZILE DABI,18,Q.J,SEFUDI,2181,RAMMULOTSI,,2181 RAMMULOTSI ,,RAMMULOTSI,VILJOENSKROON,,"2181 RAMMULOTSI ,,RAMMULOTSI,VILJOENSKROON,",P.O.BOX 701,VILJOENSKROON,9520,"P.O.BOX 701,VILJOENSKROON,9520",0563430221,URBAN,No,NONE,1,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,FALSE,FALSE,FS44306220,0,TO BE UPDATED,1152,35,1182,34,1074,35,1056,35,TRUE,3,1,4
