NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuild,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Dinaledi_Schools,Quids_Up_School,NEIMSEMISN,DEM_CHKS,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
106008224,106008224,1,WC,3 BEARS EDUCARE,3 BEARS,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.610987,-34.043351,WCED,TO BE UPDA,NEBO,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100078,78,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE SOUTH,CIRCUIT1,MS .V,SICKLE,114,SILVERSANDS,AVENUE,114 SILVERSANDS AVENUE,,PORTLAND,MITCHELLS PLAIN,7785,"114 SILVERSANDS AVENUE,PORTLAND,MITCHELLS PLAIN,7785",POST OFFICE 7785,PORTLAND,7785,"POST OFFICE 7785,PORTLAND,7785",0213718317,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,75,6,,,,,220,3,FALSE,,,
445503397,45503397,4,FS,4-U PRE-SCHOOL,4-U,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,27.88099,-28.88672,FSED 2007,340,FICKSBURG,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS191,SETSOTO LOCAL MUNICIPALITY,41901015,15,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,THABO MOFUTSANYANA,TO BE UPDATED,THE,MANAGER,18,SEMONIA,STREET,18 SEMONIA STREET,,CALEDONPARK,FICKSBURG,9730,"18 SEMONIA STREET,,CALEDONPARK,FICKSBURG,9730",POST OFFICE 9730,"CALEDON-PARK,FICKSBURG",9730,"POST OFFICE 9730,CALEDON-PARK,FICKSBURG,9730",0519332139,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,FS45503397,0,TO BE UPDATED,70,,,107,70,2,111,,FALSE,,,
600102409,102409,6,NW,A E MOLAMU,A E MOLAMU,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,25.6258,-25.8483,NEIMS 2007,6,MARICO,DC38,CENTRAL DISTRICT MUNICIPALITY,NW383,MAFIKENG LOCAL MUNICIPALITY,63803008,8,60818000,NONE,NGAKA MODIRI MOLEMA,MAFIKENG,MMABATHO,M.C,MOKOMELA,,NEOMOAGI,STREET, NEOMOAGI STREET,,,MOTSHIMA,2735," NEOMOAGI STREET,,MOTSHIMA,2735",P.O.BOX 171,MONTSHIWA,2735,"P.O.BOX 171,MONTSHIWA,2735",0183921072,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,NW102409,0,TO BE UPDATED,,,,51,50,2,58,2,FALSE,,,
800034989,800034989,8,MP,A K MOKOENA PRE-PRIMARY,A K MOKOENA,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC32,EHLANZENI DISTRICT MUNICIPALITY,MP325,BUSHBUCKRIDGE LOCAL MUNICIPALITY,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,BUSHBUCKRIDGE,NOT APPLICABLE,LEHUKWE,THE,MANAGER,,OAKLEY,, OAKLEY ,,,NEXT TO SELE PRIMARY SCHOOL,," OAKLEY ,NEXT TO SELE PRIMARY SCHOOL,",P.O.BOX 727,BUSHBUCKRIDGE,1280,"P.O.BOX 727,BUSHBUCKRIDGE,1280",0828367815,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,1,TO BE UPDATED,86,2,,82,73,3,,,FALSE,,,
827451516,827451516,8,MP,A K MOKOENA PRE-PRIMARY,A K MOKOENA,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,THE,MANAGER,,,,,,,,,,TO BE UPDATED,TO BE UPDATED,,"TO BE UPDATED,TO BE UPDATED,",TO BE UPDATED,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
980000159,980000159,9,LP,AARON NEVHUTANDA PRE-PRIMARY,AARON NEVHUTANDA,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC34,VHEMBE DISTRICT MUNICIPALITY,LIM343,THULAMELA LOCAL MUNICIPALITY,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,VHEMBE,DZINDI,THE,MANAGER,,TSHISAHULURIVERSDALE,, TSHISAHULURIVERSDALE ,,NEXT TO CLINIC,THOHOYANDOU,0950," TSHISAHULURIVERSDALE ,NEXT TO CLINIC,THOHOYANDOU,0950",P.O.BOX  6547,TINDOU,0950,"P.O.BOX  6547,TINDOU,0950",0835711935,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,103,1,,,,,,,FALSE,,,
200801494,801494,2,EC,ABC DAY CARE CENTRE( SCENARY PARK),ABC,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,EAST LONDON,TO BE UPDATED,THE,MANAGER,,,,,,,,,,POST OFFICE 5201,"PHASE ONE, SCENARY PARK,EAST LONDON",5201,"POST OFFICE 5201,PHASE ONE, SCENARY PARK,EAST LONDON,5201",TO BE UPDATED,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01-Mar-07,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,80,,,,56,3,60,,FALSE,,,
907203056,907203056,9,LP,ABC IKAGENG,ABC IKAGENG,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,28.44709,-24.68902,NEIMS 2007,95,WATERBERG,DC36,WATERBERG DISTRICT MUNICIPALITY,LIM365,MODIMOLLE LOCAL MUNICIPALITY,93605006,6,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,WATERBERG,NYLSTROOM,R.J,MALULEKE,5021,RATLHAMADE,,5021 RATLHAMADE ,,PHAHAMENG,NYLSTROOM,0510,"5021 RATLHAMADE ,PHAHAMENG,NYLSTROOM,0510",P.O.BOX 2714,MODIMOLLE,0510,"P.O.BOX 2714,MODIMOLLE,0510",0737180884,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,LP907203056,0,TO BE UPDATED,54,,,,,,,,FALSE,,,
700160101,160101,7,GT,ABC NURSERY SCHOOL CRÈCHE,ABC NURSERY,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,INDEPENDENT,NOT APPLICABLE,,NOT APPLICABLE,28.1499,-26.13938,GEOCODED,202,BAFOKENG,DC37,BOJANALA DISTRICT MUNICIPALITY,NW373,EKURHULENI METROPOLITAN MUNICIPALITY,79300019,19,60301000,NONE,NOT APPLICABLE,EKURHULENI NORTH,NOTAPPLICABLE,THE,THOMPSON,90,SEVENTH,AVENUE,90 SEVENTH AVENUE,,,EDENVALE,1610,"90 SEVENTH AVENUE,,EDENVALE,1610",P.O.BOX 8937,JOHANNESBURG,2001,"P.O.BOX 8937,JOHANNESBURG,2001",0114522336,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,56,,,,,,,,FALSE,,,
108003380,0108003380,1,WC,ABE MAART PREPRIM.,ABE MAART,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.996847,-33.720743,TELKOM 2009,175,PAARL,DC2,CAPE WINELANDS DISTRICT MUNICIPALITY,TO BE UPDATED,DRAKENSTEIN LOCAL MUNICIPALITY,10203021,21,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,WEST COAST,CIRCUIT4,MEV. U,LINDERS,3,SPRINGBOK,STREET,3 SPRINGBOK STREET,,NEDERBURG,PAARL,7646,"3 SPRINGBOK STREET,NEDERBURG,PAARL,7646",POST OFFICE 7646,PAARL-OOS,7646,"POST OFFICE 7646,PAARL-OOS,7646",0218620252,RURAL,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,19,,16,2,29,3,,,FALSE,,,
