NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuild,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Dinaledi_Schools,Quids_Up_School,NEIMSEMISN,DEM_CHKS,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
700311704,311704,7,GT,ACTONVILLE TRAINING CENTRE,ACTONVILLE TRAINING,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,Intellectual disability,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,28.3564516667,-26.189441667,GDE2009,325,BENONI,EKU,EKHURULENI METROPOLITAN MUNICIPALITY,EKU,EKURHULENI METROPOLITAN MUNICIPALITY,79300073,73,60319023,RUSTENBURG NU,NOT APPLICABLE,EKURHULENI NORTH,NOTAPPLICABLE,S,RATTY,,CORNER MCALPINE AND DAVEYTON,ROAD, CORNER MCALPINE AND DAVEYTON ROAD,,RYNSOORD,BENONI,," CORNER MCALPINE AND DAVEYTON ROAD,RYNSOORD,BENONI,",P.O. Box 18121,ACTONVILLE,1506,"P.O. Box 18121,ACTONVILLE,1506",0114232411,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,GP311704,0,TO BE UPDATED,214,14,302,16,385,18,436,27,FALSE,,,
700133652,133652,7,GT,ADELAIDE TAMBO SCHOOL,ADELAIDE TAMBO,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,Physical disability,PUBLIC,PUBLIC,133652,8133652,ADELAIDE TAMBO (J C MERKIN WHITE CITY,27.8761933338,-26.2490533337,GDE2009,199,RANDFONTEIN,DC48,WEST RAND DISTRICT MUNICIPALITY,GT482,RANDFONTEIN LOCAL MUNICIPALITY,79400035,35,60319023,RUSTENBURG NU,NOT APPLICABLE,JOHANNESBURG CENTRAL,NOTAPPLICABLE,MR. N.H,MEMANI,3133B,DIOKANE,DRIVE,3133B DIOKANE DRIVE,,WHITE CITY,JABAVU,,"3133B DIOKANE DRIVE,WHITE CITY,JABAVU,",P.O.Box 82424,SOUTHDALE,2135,"P.O.Box 82424,SOUTHDALE,2135",0119844000,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,25-Jan-00,0,FALSE,FALSE,GP133652,0,TO BE UPDATED,376,28,355,28,371,35,373,32,TRUE,47,65,112
106494631,0106494631,1,WC,AGAPESKOOL,AGAPE,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,CP & Physical Disability,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,18.62341791,-34.06364049,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100082,82,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE SOUTH,CIRCUIT4,B,LAMBERT,,CORNER SENTINEL AND YELLOWWOOD,ROAD, CORNER SENTINEL AND YELLOWWOOD ROAD,CAFDA,TAFELSIG ,CAPE TOWN ,7784," CORNER SENTINEL AND YELLOWWOOD ROAD,CAFDA,TAFELSIG ,CAPE TOWN ,7784",P.O. Box23,MITCHELL'S PLAIN,7785,"P.O. Box23,MITCHELL'S PLAIN,7785",0213924162,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,WC0106494631,0,TO BE UPDATED,214,28,211,23,211,23,213,21,FALSE,,,
113008387,0113008387,1,WC,AGULHAS SCHOOL OF SKILLS,AGULHAS,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,?,TO BE UPDATED,TO BE UPDATED,99,,N/A,,,WCED,13,BREDASDORP,TO BE UPDATED,OVERBERG DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,UNKNOWN,NOT APPLICABLE,OVERBERG,01,THE,MANAGER,,,,,,,NAPIER,7270,"NAPIER,7270",P.O.BOX 17,NAPIER,NAPIER,"P.O.BOX 17,NAPIER,NAPIER",0284233235,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,0,FALSE,FALSE,,,TO BE UPDATED,,,,,,,,,TRUE,,1,1
700400095,400095,7,GT,ALBERTINA SISULU SPECIAL SCHOOL,ALBERTINA SISULU,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INDUSTRIAL: CHILD WELFARE,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,27.9169116666,-26.2268600002,GDE2009,322,SOWETO,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79400039,39,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG WEST,NOTAPPLICABLE,B,LUSHOZI,9394,MOPHIRING,STREET,9394 MOPHIRING STREET,,ORLANDO WEST,SOWETO,2013,"9394 MOPHIRING STREET,ORLANDO WEST,SOWETO,2013",P.O.BOX 90554,BERTSHAM,2013,"P.O.BOX 90554,BERTSHAM,2013",0119392141,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,03-Nov-03,0,FALSE,FALSE,GP400095,0,TO BE UPDATED,200,14,166,12,163,14,206,16,FALSE,,,
200601153,601153,2,EC,ALIWAL NORTH AMASANGO CAREER SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,Extrinsic,PUBLIC,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.7055,-30.69535,NEIMS 2007,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT2,MR .G,GELDENHUYS,18,MURRAY -OLD STATION BUILDING,STREET,18 MURRAY -OLD STATION BUILDING STREET,,,ALIWAL NORTH,,"18 MURRAY -OLD STATION BUILDING STREET,ALIWAL NORTH,",P.O. Box 2286,ALIWALNORTH,6140,"P.O. Box 2286,ALIWALNORTH,6140",0516342002,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,EC601153,0,TO BE UPDATED,219,10,229,14,,17,246,17,FALSE,,,
200600014,600014,2,EC,ALIWAL NORTH TECH ORIENT. SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,MID,PUBLIC,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.71701,-30.69246,ECED2007,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT2,F,BROWN,,OLD LADY-GREY,ROAD, OLD LADY-GREY ROAD,,,ALIWAL NORTH,9750," OLD LADY-GREY ROAD,ALIWAL NORTH,9750",Private Bag x1016,ALIWAL NORTH,9750,"Private Bag x1016,ALIWAL NORTH,9750",0516332681,RURAL,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01-Jan-06,0,FALSE,FALSE,EC600014,0,TO BE UPDATED,237,16,231,17,180,18,148,18,TRUE,,94,94
700230136,230136,7,GT,ALMASKOOL,ALMA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,Intellectual disability,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,28.1965616665,-25.713086667,GDE2009,204,PRETORIA,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79600054,54,77612066,LUKASRAND,NOT APPLICABLE,TSHWANE NORTH,NOTAPPLICABLE,Z.B,BONDESIO,404,FRANZINA,STREET,404 FRANZINA STREET,,ELOFFSDAL,PRETORIA,0031,"404 FRANZINA STREET,ELOFFSDAL,PRETORIA,0031",P.O.BOX 24005,GEZINA,0031,"P.O.BOX 24005,GEZINA,0031",0123350252,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,GP230136,0,TO BE UPDATED,207,19,216,19,220,19,226,22,FALSE,,,
103484644,0103484644,1,WC,ALPHA SKOOL,ALPHA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,"Autism Spectrum Dis
order",PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,18.45076525,-33.93539787,WCED,65,SIMONSTAD,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100057,57,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE CENTRAL,CIRCUIT4,N,KEARNS,84,PALMERSTON,ROAD,84 PALMERSTON ROAD,WOODSTOCK,WOODSTOCK,CAPE TOWN ,,"84 PALMERSTON ROAD,WOODSTOCK,WOODSTOCK,CAPE TOWN ,",P.O.BOX 48,WOODSTOCK,7925,"P.O.BOX 48,WOODSTOCK,7925",0214471213,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,WC0103484644,0,TO BE UPDATED,62,12,61,9,65,9,67,9,TRUE,,3,3
107315600,0107315600,1,WC,ALTA DU TOIT SKOOL,ALTA DU TOIT,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,Intellectual disability,PUBLIC,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.69771932,-33.92758596,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100011,11,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE SOUTH,CIRCUIT1,M.J,BASSON,,PIET FRANSMAN,STREET, PIET FRANSMAN STREET,,KUILSRIVER,CAPE TOWN ,7580," PIET FRANSMAN STREET,KUILSRIVER,CAPE TOWN ,7580",Private Bag x10,KUILSRIVER,7579,"Private Bag x10,KUILSRIVER,7579",0219034178,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,WC0107315600,0,TO BE UPDATED,364,30,355,30,352,32,356,32,TRUE,20,34,54
