NatEmis,EmisNo,ProvinceCD,Province,Institution_Name,Name,Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuildings,ExDept,PaypointNo,ComponentNo,ResponsibilityCode,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal Code,StreetAddress,Box_P_Bag,Post Office,Box_Bag Postal_Code,PostalAddress,Telephone,Facsimile,cellno,Urban_Rural,Section21,Section21_Funct,Quintile,NAS,NodalArea,NAT,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
700311704,311704,7,GT,ACTONVILLE TRAINING CENTRE,ACTONVILLE TRAINING,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),905001,TO BE UPDA,99,NOT APPLICABLE,,NOT APPLICABLE,28.3564516667,-26.189441667,GDE2009,325,BENONI,EKU,EKHURULENI METROPOLITAN MUNICIPALITY,EKU,EKURHULENI METROPOLITAN MUNICIPALITY,79300073,73,60319023,RUSTENBURG NU,NOT APPLICABLE,EKURHULENI NORTH,NOTAPPLICABLE,S,RATTY,1,CORNER MCALPINE AND DAVEYTON,AGRICULTURAL AUTHORITY,1 CORNER MCALPINE AND DAVEYTON AGRICULTURAL AUTHORITY,RYNSOORD,,BENONI,,"1 CORNER MCALPINE AND DAVEYTON AGRICULTURAL AUTHORITY,RYNSOORD,,BENONI,",P.O.BOX 18121,ACTONVILLE,1506,"P.O.BOX 18121,ACTONVILLE,1506",0114232411,0114231347,TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,520,33,,,,FALSE,,,
700133652,133652,7,GT,ADELAIDE TAMBO SCHOOL,ADELAIDE TAMBO,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,PHYSICAL DISABILITY,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),911001,TO BE UPDA,99,133652,8133652,ADELAIDE TAMBO (J C MERKIN WHITE CITY,27.8761933338,-26.2490533337,GDE2009,199,RANDFONTEIN,DC48,WEST RAND DISTRICT MUNICIPALITY,GT482,RANDFONTEIN LOCAL MUNICIPALITY,79400035,35,60319023,RUSTENBURG NU,NOT APPLICABLE,JOHANNESBURG CENTRAL,NOTAPPLICABLE,MR. N.H,MEMANI,3133B,DIOKANE,DRIVE,3133B DIOKANE DRIVE,WHITE CITY JABAVU,KWA-XUMA SOWETO,JABAVU,,"3133B DIOKANE DRIVE,WHITE CITY JABAVU,KWA-XUMA SOWETO,JABAVU,",P.O.BOX 82424,SOUTHDALE,2135,"P.O.BOX 82424,SOUTHDALE,2135",0119844000,0119841732,TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,378,39,,,,FALSE,,,
106494631,0106494631,1,WC,AGAPESKOOL,AGAPE,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,CEREBRAL PALSY & PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,494631,940,99,NOT APPLICABLE,,NOT APPLICABLE,18.62341791,-34.06364049,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100082,82,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT4,B,LAMBERT,,CORNER SENTINEL AND YELLOWWOOD,ROAD,CORNER SENTINEL AND YELLOWWOOD ROAD,CAFDA,TAFELSIG,CAPE TOWN,7784,"CORNER SENTINEL AND YELLOWWOOD ROAD,CAFDA,TAFELSIG ,CAPE TOWN,7784",P.O.BOX 23,MITCHELL'S PLAIN,7784,"P.O.BOX 23,MITCHELL'S PLAIN,7784",0213924162,0213925496,TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,220,19,,,,FALSE,,,
113008387,0113008387,1,WC,AGULHAS SCHOOL OF SKILLS,AGULHAS,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,WESTERN CAPE EDUCATION DEPARTMENT,99,333654,99,TO BE UPDATED,,NOT APPLICABLE,,,WCED,13,BREDASDORP,TO BE UPDATED,OVERBERG DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,UNKNOWN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,THE,MANAGER,,,STREET,STREET,,,NAPIER,7270,"STREET,,,NAPIER,7270",P.O.BOX 17,NAPIER,7270,"P.O.BOX 17,NAPIER,7270",0284233235,0284233902,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,158,13,,,,FALSE,,,
700400095,400095,7,GT,ALBERTINA SISULU SPECIAL SCHOOL,ALBERTINA SISULU,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,INDUSTRIAL: CHILD WELFARE,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,99,TO BE UPDA,99,NOT APPLICABLE,,NOT APPLICABLE,27.9169116666,-26.2268600002,GDE2009,322,SOWETO,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79400039,39,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG WEST,NOTAPPLICABLE,B,LUSHOZI,9394,MOPHIRING,AGRICULTURAL AUTHORITY,9394 MOPHIRING AGRICULTURAL AUTHORITY,ORLANDO,,SOWETO,2013,"9394 MOPHIRING AGRICULTURAL AUTHORITY,ORLANDO,,SOWETO,2013",P.O.BOX 90554,BERTSHAM,2013,"P.O.BOX 90554,BERTSHAM,2013",0119392141,0119392548,0829920171,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,204,15,,,,FALSE,,,
200601153,601153,2,EC,ALIWAL NORTH AMASANGO CAREER SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,SPECIAL NEEDS EDUCATION,PUBLIC,TO BE UPDATED,TO BE UPDATED,021435,021435,99,NOT APPLICABLE,,NOT APPLICABLE,26.7055,-30.69535,NEIMS 2007,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT2,MR .G,GELDENHUYS,18,MURRAY -OLD STATION BUILDING,STREET,18 MURRAY -OLD STATION BUILDING STREET,,,ALIWAL NORTH,,"18 MURRAY -OLD STATION BUILDING STREET,,,ALIWAL NORTH,",P.O.BOX 402,ALIWALNORTH,9750,"P.O.BOX 402,ALIWALNORTH,9750",0516342002,0516342002,0828647564,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Y,UKHAHLAMBA,RURAL,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,245,17,,,,FALSE,,,
200600014,600014,2,EC,ALIWAL NORTH TECH ORIENT. SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,MILD AND MODERATELY HANDICAPPED,PUBLIC,TO BE UPDATED,HOUSE OF REPRESENTATIVES(HOR),021437,021437,99,NOT APPLICABLE,,NOT APPLICABLE,26.71701,-30.69246,ECED2007,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT2,F,BROWN,,OLD LADY-GREY,ROAD,OLD LADY-GREY ROAD,,,ALIWAL NORTH,9750,"OLD LADY-GREY ROAD,,,ALIWAL NORTH,9750",P.O.BOX 209,ALIWAL NORTH,9750,"P.O.BOX 209,ALIWAL NORTH,9750",0516332681,0516341580,TO BE UPDATED,RURAL,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Y,UKHAHLAMBA,RURAL,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,173,17,,,,FALSE,,,
700230136,230136,7,GT,ALMA SKOOL,ALMA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),903001,TO BE UPDA,99,NOT APPLICABLE,,NOT APPLICABLE,28.1965616665,-25.713086667,GDE2009,204,PRETORIA,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79600054,54,77612066,LUKASRAND,NOT APPLICABLE,TSHWANE NORTH,NOTAPPLICABLE,Z.B,BONDESIO,404,FRANZINA,STREET,404 FRANZINA STREET,,ELOFFSDAL,PRETORIA,0031,"404 FRANZINA STREET,,ELOFFSDAL,PRETORIA,0031",P.O.BOX 24005,GEZINA,0031,"P.O.BOX 24005,GEZINA,0031",0123350252,0123352658,0833326277,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,226,21,,,,FALSE,,,
103484644,0103484644,1,WC,ALPHA SKOOL,ALPHA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,AUTISTIC SPECTRUM DISORDERS,PUBLIC,PUBLIC,TO BE UPDATED,484644,947,99,NOT APPLICABLE,,NOT APPLICABLE,18.45076525,-33.93539787,WCED,65,SIMONSTAD,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100057,57,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METRO CENTRAL,CIRCUIT4,N,KEARNS,84,PALMERSTON,ROAD,84 PALMERSTON ROAD,,WOODSTOCK,CAPE TOWN,,"84 PALMERSTON ROAD,,WOODSTOCK,CAPE TOWN,",P.O.BOX 48,WOODSTOCK,7925,"P.O.BOX 48,WOODSTOCK,7925",0214471213,0214480405,TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,72,11,,,,FALSE,,,
107315600,0107315600,1,WC,ALTA DU TOIT SKOOL,ALTA DU TOIT,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,INTELLECTUAL DISABILITY,PUBLIC,TO BE UPDATED,TO BE UPDATED,315600,5976,99,NOT APPLICABLE,,NOT APPLICABLE,18.69771932,-33.92758596,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100011,11,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT1,M.J,BASSON,,PIET FRANSMAN,STREET,PIET FRANSMAN STREET,,KUILSRIVER,CAPE TOWN,7580,"PIET FRANSMAN STREET,,KUILSRIVER,CAPE TOWN,7580",PRIVATE BAG X10,KUILSRIVER,7580,"PRIVATE BAG X10,KUILSRIVER,7580",0219034178,0219036021,TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,345,33,,,,FALSE,,,
