NatEmis,EmisNo,ProvinceCD,Province,Institution_Name,Name,Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuildings,ExDept,PaypointNo,ComponentNo,ResponsibilityCode,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal Code,StreetAddress,Box_P_Bag,Post Office,Box_Bag Postal_Code,PostalAddress,Telephone,Facsimile,cellno,Email,Urban_Rural,Section21,Section21_Funct,Quintile,NAS,NodalArea,NAT,RegistrationDate,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
132310302,0132310302,1,WC,SWARTLAND HS.,SWARTLAND,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,TO BE UPDATED,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),310302,5487,TO BE UPDATED,5522,1375522,SWARTLAND HS.,18.732925,-33.456274,WCED,67,MALMESBURY,DC1,WEST COAST DISTRICT MUNICIPALITY,WC015,SWARTLAND LOCAL MUNICIPALITY,10105010,10,10509000,NONE,NOT APPLICABLE,WEST COAST,01,DJ,MARAIS,,DIRKIE UYS,STREET,DIRKIE UYS  STREET,,,MALMESBURY,,"DIRKIE UYS STREET,MALMESBURY,",POSBUS 253,MALMESBURY,"POSBUS 253,MALMESBURY,7299","POSBUS 253,MALMESBURY,7299",0224821469,0224821177,0845151292,admin@swartlandhs.org.za,RURAL,YES,ABCDE,5,N,NOT APPLICABLE,NOT APPLICABLE,03-Jan-00,NO,144,FALSE,FALSE,TO BE UPDATED,738,32,703,29,727,31,749,32,745,33,,,,TRUE,61,38,99
200100238,100238,2,EC,GAMBLE STREET SECONDARY SCHOOL,GAMBLE STREET,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,PUBLIC,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),022413,022413,TO BE UPDATED,623133,4231003,GAMBLE STREET SECONDARY SCHOOL (,25.38558,-33.76564,NEIMS 2007,51,PORT ELIZABETH,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,29500048,48,27518006,COLLEGE HILL,NOT APPLICABLE,UITENHAGE,CIRCUIT6,L. J,BARNES,,GAMBLE,STREET,GAMBLE STREET,,RIVERSIDE,UITENHAGE,6230,"GAMBLE STREET,RIVERSIDE,UITENHAGE,6230",PRIVATE BAG X40,UITENHAGE,"PRIVATE BAG X40,UITENHAGE,6230","PRIVATE BAG X40,UITENHAGE,6230",0419910757,0419911072,0832253618,gamblelesecondary@telkomsa.net,URBAN,NO,NONE,5,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-10,NO,0,FALSE,FALSE,TO BE UPDATED,1373,33,1210,38,1131,37,1042,35,1150,35,,,,TRUE,72,25,97
200100856,100856,2,EC,LAERSKOOL WILLOWMORE,WILLOWMORE,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),084216,084216,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,23.4871,-33.29891,NEIMS 2007,167,WILLOWMORE,DC10,CACADU DISTRICT MUNICIPALITY,EC107,BAVIAANS LOCAL MUNICIPALITY,TO BE UPDATED,99,20704002,HILLVIEW,NOT APPLICABLE,GRAAFF-REINET,CIRCUIT2,M.J,DEJAGER,,ADDERLY,STREET,ADDERLY STREET,,WILLOWMORE,WILLOWVALE,6445,"ADDERLY STREET,WILLOWMORE,WILLOWVALE,6445",P.O.BOX 6,WILLOWMORE,"P.O.BOX 6,WILLOWMORE,6445","P.O.BOX 6,WILLOWMORE,6445",0449232284,0449232284,,,URBAN,YES,ABCD,4,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-13,NO,0,FALSE,FALSE,TO BE UPDATED,130,4,118,3,176,4,208,4,220,4,,,,TRUE,46,44,90
200100862,100862,2,EC,WINTERBERG AGRIC HIGH SCHOOL,WINTERBERG,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,AGRICULTURE,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),074367,074367,TO BE UPDATED,517043,4171041,WINTERBERG AGRICULTURAL HIGH SCHOOL,26.46217,-32.82361,NEIMS 2007,243,FORT BEAUFORT,DC12,AMATOLE DISTRICT MUNICIPALITY,EC127,NKONKOBE LOCAL MUNICIPALITY,21207008,8,21611000,NONE,NOT APPLICABLE,FORT BEAUFORT,CIRCUIT7,ANDRE' JANSEN,VANVUUREN,,INDUSTRIAL,AREA,INDUSTRIAL  AREA,,WINTERBERG,FORT BEAUFORT,5720,"INDUSTRIAL AREA,WINTERBERG,FORT BEAUFORT,5720",PRIVATE BAG X238,FORTBEAUFORT,"PRIVATE BAG X238,FORTBEAUFORT,5720","PRIVATE BAG X238,FORTBEAUFORT,5720",0466451168,0466451518,0833037566,winterberg@winagric.co.za,URBAN,YES,ABCD,5,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-72,NO,0,FALSE,FALSE,TO BE UPDATED,270,16,258,14,260,14,237,17,264,17,,,,TRUE,33,61,94
200200103,200103,2,EC,DALE COLLEGE,DALE,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,COMPREHENSIVE,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),011415,011415,TO BE UPDATED,519029,4191009,DALE COLLEGE BOYS HIGH SCHOOL,27.40572,-32.87465,NEIMS 2007,156,KING WILLIAM'S TOWN,DC12,AMATOLE DISTRICT MUNICIPALITY,EC125,BUFFALO CITY LOCAL MUNICIPALITY,21205042,42,21431008,HEADLANDS,NOT APPLICABLE,KING WILLIAMS TOWN,8A,MR. M,EDDY,,QUEENS,ROAD,QUEENS ROAD,,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,5600,"QUEENS ROAD,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,5600",P.O.BOX 62,KINGWILLIAMSTOWN,"P.O.BOX 62,KINGWILLIAMSTOWN,5600","P.O.BOX 62,KINGWILLIAMSTOWN,5600",0436421968,0436425452,0829204099,office@dalecollege.co.za,URBAN,YES,ABCD,5,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-61,NO,0,FALSE,FALSE,TO BE UPDATED,508,27,513,26,535,26,514,28,522,27,,,,TRUE,,95,95
200600204,600204,2,EC,FREEMANTLE BOYS' HIGH SCHOOL,FREEMANTLE,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,PUBLIC,PUBLIC,TRANSKEI,012413,012413,TO BE UPDATED,308032,4081004,FREEMANTLE S.S. SCHOOL (08),27.18657,-31.70874,NEIMS 2007,295,CACADU/GLEN GREY/LADY FRERE,DC13,CHRIS HANI DISTRICT MUNICIPALITY,EC136,EMALAHLENI LOCAL MUNICIPALITY,21306005,5,22315011,FREEMANTLE,NOT APPLICABLE,LADY FRERE,CIRCUIT1,D.B,DUMSE,,,,,,FREEMANTLE FARM,LADYFRERE,5410,"FREEMANTLE FARM,LADYFRERE,5410",P.O.BOX 16,LADYFRERE,"P.O.BOX 16,LADYFRERE,5410","P.O.BOX 16,LADYFRERE,5410",0825448485,,0825448485,,RURAL,YES,ABCD,2,Y,BUSHBUCKRIDGE,RURAL,01-Jan-39,YES,740,FALSE,TRUE,TO BE UPDATED,299,10,267,10,300,12,357,12,425,9,,,,TRUE,,94,94
200600819,600819,2,EC,TARKASTAD HIGH SCHOOL,TARKASTAD,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),044201,044201,TO BE UPDATED,309009,4091015,TARKASTAD HIGH SCHOOL,26.25658,-32.01001,NEIMS 2007,298,TARKA,DC13,CHRIS HANI DISTRICT MUNICIPALITY,EC132,TSOLWANA LOCAL MUNICIPALITY,21302004,4,21906000,NONE,NOT APPLICABLE,CRADOCK,TARKAHOFMEYR,H.M,STRYDOM,,BRUTON,STREET,BRUTON  STREET,,,TARKASTAD,5370,"BRUTON STREET,TARKASTAD,5370",P.O.BOX 13,TARKASTAD,"P.O.BOX 13,TARKASTAD,5370","P.O.BOX 13,TARKASTAD,5370",0458460173,0458460555,,tarkaskool@xsinet.co.za,URBAN,YES,ABCD,4,Y,CHRIS HANI,RURAL,01-Jan-60,NO,0,FALSE,FALSE,TO BE UPDATED,352,16,317,14,375,16,451,19,508,18,,,,TRUE,47,46,93
300012601,12601,3,NC,HOËR LANDBOUSKOOL NOORD-KAAPLAND,LANDBOU  NOORD-KAAPLAND,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),99,TO BE UPDA,7770,2012601,2012601,H/LANDBOUSKOOL NOORD-KAAPLAND,24.8615,-27.90433,NEIMS 2007,193,CHRISTIANA,DC39,BOPHIRIMA DISTRICT MUNICIPALITY,NW396,LEKWA-TEEMANE LOCAL MUNICIPALITY,63906006,6,61604001,CHRISTIANA NU,NOT APPLICABLE,FRANCES BAARD,NOTAPPLICABLE,AH,OLIVIER,,VAN RIEBEECK,STREET,VAN RIEBEECK  STREET,,,JAN KEMPDORP,8550,"VAN RIEBEECK STREET,JAN KEMPDORP,8550",PRIVATE BAG X3,JAN KEMPDORP,"PRIVATE BAG X3,JAN KEMPDORP,8550","PRIVATE BAG X3,JAN KEMPDORP,8550",0534560424,0534560425,0828517652,landbouskool@intekom.co.za,RURAL,YES,ABCD,3,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,0,FALSE,TRUE,INCORRECT PROVINCE,228,14,227,15,210,13,180,12,183,14,SATELITE,,,TRUE,42,57,99
440506317,40506317,4,FS,BOTHAVILLE S/S,BOTHAVILLE,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),125204,194204,3457,3181003,3181003,BOTHAVILLE SS,26.606637,-27.385278,FSED 2007,263,BOTHAVILLE,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS185,NALA LOCAL MUNICIPALITY,41805012,12,41101001,MEYERHOF,NOT APPLICABLE,LEJWELEPUTSWA,11,P.A.L,WESSELS,,SYMOND,STREET,SYMOND  STREET,,,BOTHAVILLE,9660,"SYMOND STREET,BOTHAVILLE,9660",P.O.BOX  31,BOTHAVILLE,"P.O.BOX  31,BOTHAVILLE,9660","P.O.BOX  31,BOTHAVILLE,9660",0565152700,0565152714,0834095303,bhs@schoolink.co.za,URBAN,YES,ABCDE,5,N,NOT APPLICABLE,NOT APPLICABLE,03-Jan-00,NO,0,FALSE,FALSE,TO BE UPDATED,369,16,338,16,313,17,299,18,317,18,,,,TRUE,53,44,97
444510260,44510260,4,FS,VREDE C/S,VREDE,OPEN,PUBLIC,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),129225,191206,7752,3194018,3194018,VREDE CS,29.157548,-27.434475,FSED 2007,215,VREDE,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS195,PHUMELELA LOCAL MUNICIPALITY,41905003,3,41604000,VREDE SP,NOT APPLICABLE,THABO MOFUTSANYANA,15,W.L,ELS,,REYNEKE 22,STREET,REYNEKE 22  STREET,,,VREDE,9835,"REYNEKE 22 STREET,VREDE,9835",PRIVAATSAK X7,GIYANI,"PRIVAATSAK X7,GIYANI,9835","PRIVAATSAK X7,GIYANI,9835",0589131003,0589132540,0833048058,hsvrede@lantic.net,URBAN,YES,ABCDE,4,N,NOT APPLICABLE,NOT APPLICABLE,17-Sep-98,NO,0,FALSE,TRUE,TO BE UPDATED,308,20,314,20,300,20,304,21,308,21,,,,TRUE,49,44,93
