NatEmis,EmisNo,ProvinceCD,Province,Institution_Name,Name,Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuildings,ExDept,PaypointNo,ComponentNo,ResponsibilityCode,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal Code,StreetAddress,Box_P_Bag,Post Office,Box_Bag Postal_Code,PostalAddress,Telephone,Facsimile,cellno,Urban_Rural,Section21,Section21_Funct,Quintile,NAS,NodalArea,NAT,RegistrationDate,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
200200980,200980,2,EC,BHISHO REFORM SCHOOL,,OPEN,Public,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,KING WILLIAMS TOWN,13,THE,MANAGER,,,,,,,,,,,BHISHO,5605,",BHISHO,5605",,,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,,,,,,FALSE,,,
100000073,0100000073,1,WC,BISHOPS SCHOOL OF SKILLS,99,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SCHOOL OF SKILL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,WESTERN CAPE EDUCATION DEPARTMENT,99,TO BE UPDA,TO BE UPDATED,99,,N/A,18.582726,-33.945884,WCED,2,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,24,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,06,K,TEMMERS,,,,Koppiesdamstraat,99,BISHOP LAVIS,BELLVILLE,99,,KOPPIESDAMSTRAAT,BISHOP LAVIS,7490,,,,0748899474,TO BE UPDATED,NO,TO BE UPDATED,TO BE UPDATED,N,N/A,TO BE UPDATED,,TO BE UPDATED,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,,,,,,FALSE,,,
700311704,311704,7,GT,ACTONVILLE TRAINING CENTRE,ACTONVILLE TRAINING,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),905001,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,28.3564516667,-26.189441667,GDE2009,325,BENONI,EKU,EKHURULENI METROPOLITAN MUNICIPALITY,EKU,EKURHULENI METROPOLITAN MUNICIPALITY,79300073,73,60319023,RUSTENBURG NU,NOT APPLICABLE,EKURHULENI NORTH,TO BE UPDATED,J,RATTAY,1,C/N MC ALPINE AND MODDERBEE STR,ROAD,1 C/N MC ALPINE AND MODDERBEE STR  ROAD,,,BENONI,1500,"1 C/N MC ALPINE AND MODDERBEE STR ROAD,BENONI,1500",P.O.BOX 18121,ACTONVILLE,"P.O.BOX 18121,ACTONVILLE,1506","P.O.BOX 18121,ACTONVILLE,1506",0114232411,0114231347,0825529478,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,520,107,,,,FALSE,,,
700133652,133652,7,GT,ADELAIDE TAMBO SCHOOL,ADELAIDE TAMBO,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,PHYSICAL DISABILITY,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),911001,TO BE UPDA,TO BE UPDATED,133652,8133652,ADELAIDE TAMBO (J C MERKIN WHITE CITY,27.8761933338,-26.2490533337,GDE2009,199,RANDFONTEIN,DC48,WEST RAND DISTRICT MUNICIPALITY,GT482,RANDFONTEIN LOCAL MUNICIPALITY,79400035,35,60319023,RUSTENBURG NU,NOT APPLICABLE,JOHANNESBURG CENTRAL,TO BE UPDATED,MR. N.H,MEMANI,3132,DIOKANE,DRIVE,3132 DIOKANE  DRIVE,,KWA-XUMA SOWETO,JOHANNESBURG,1868,"3132 DIOKANE DRIVE,KWA-XUMA SOWETO,JOHANNESBURG,1868",P.O.BOX 82424,SOUTHDALE,"P.O.BOX 82424,SOUTHDALE,2135","P.O.BOX 82424,SOUTHDALE,2135",0119844000,0119841732,0832874748,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,25-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,378,162,,,,FALSE,,,
106494631,0106494631,1,WC,AGAPESKOOL,AGAPE,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,CEREBRAL PALSY & PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,494631,940,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.62341791,-34.06364049,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100082,82,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT4,B,LAMBERT,,H/V SENTINEL EN YELLOWWOOD,ROAD,H/V SENTINEL EN YELLOWWOOD  ROAD,,TAFELSIG,MITCHELL'S PLAIN,,"H/V SENTINEL EN YELLOWWOOD ROAD,TAFELSIG,MITCHELL'S PLAIN,",POSBUS 223,MITCHELL'S PLAIN,"POSBUS 223,MITCHELL'S PLAIN,7784","POSBUS 223,MITCHELL'S PLAIN,7784",0213924162,0213925496,0824077310,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,220,107,,,,FALSE,,,
113008387,0113008387,1,WC,AGULHAS SCHOOL OF SKILLS,AGULHAS,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,WESTERN CAPE EDUCATION DEPARTMENT,99,333654,TO BE UPDATED,99,,N/A,,,WCED,13,BREDASDORP,TO BE UPDATED,OVERBERG DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,OVERBERG,01,A,BOTHA,,STEYN,STREET,STEYN  STREET,,,NAPIER,,"STEYN STREET,NAPIER,",P.O.BOX  17,NAPIER,"P.O.BOX  17,NAPIER,7270","P.O.BOX  17,NAPIER,7270",0284233235,0284233902,0823748973,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,158,13,,,,FALSE,,,
700400095,400095,7,GT,ALBERTINA SISULU SPECIAL SCHOOL,ALBERTINA SISULU,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INDUSTRIAL: CHILD WELFARE,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,99,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,27.9169116666,-26.2268600002,GDE2009,322,SOWETO,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79400039,39,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG WEST,TO BE UPDATED,B,LUSHOZI,9394,MOPHIRING,STREET,9394 MOPHIRING  STREET,,SOWETO,JOHANNESBURG,1804,"9394 MOPHIRING STREET,SOWETO,JOHANNESBURG,1804",P.O.BOX 90554,BERTSHAM,"P.O.BOX 90554,BERTSHAM,2013","P.O.BOX 90554,BERTSHAM,2013",0119392454,0119392548,0829920171,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,03-Nov-03,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,204,71,,,,FALSE,,,
200600014,600014,2,EC,ALIWAL NORTH TECH ORIENT SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,MILD AND MODERATELY HANDICAPPED,PUBLIC,TO BE UPDATED,HOUSE OF REPRESENTATIVES(HOR),021437,021437,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.71701,-30.69246,ECED2007,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT2,F,BROWN,,OLD LADY-GREY,ROAD,OLD LADY-GREY ROAD,,,ALIWAL NORTH,9750,"OLD LADY-GREY ROAD,ALIWAL NORTH,9750",P.O.BOX 209,ALIWAL NORTH,"P.O.BOX 209,ALIWAL NORTH,9750","P.O.BOX 209,ALIWAL NORTH,9750",0516332681,0516341580,,RURAL,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Y,UKHAHLAMBA,RURAL,01-Jan-06,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,173,86,,,,FALSE,,,
200601153,601153,2,EC,ALIWAL NORTH AMASANGO CAREER SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,SPECIAL NEEDS EDUCATION,PUBLIC,TO BE UPDATED,TO BE UPDATED,021435,021435,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.7055,-30.69535,NEIMS 2007,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT2,MR .G,GELDENHUYS,18,18 MURRAY -OLD STATION BUILDING,STREET,18 18 MURRAY -OLD STATION BUILDING  STREET,,,ALIWAL NORTH,9750,"18 18 MURRAY -OLD STATION BUILDING STREET,ALIWAL NORTH,9750",P.O.BOX 402,ALIWALNORTH,"P.O.BOX 402,ALIWALNORTH,9750","P.O.BOX 402,ALIWALNORTH,9750",0516342002,0516342002,0828647564,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Y,UKHAHLAMBA,RURAL,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,245,75,,,,FALSE,,,
700230136,230136,7,GT,ALMASKOOL,ALMA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),903001,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,28.1965616665,-25.713086667,GDE2009,204,PRETORIA,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79600054,54,77612066,LUKASRAND,NOT APPLICABLE,TSHWANE NORTH,TO BE UPDATED,Z.B,BONDESIO,404,FRANZINA,STREET,404 FRANZINA  STREET,,ELOFFSDAL,PRETORIA,0084,"404 FRANZINA STREET,ELOFFSDAL,PRETORIA,0084",P.O.BOX 24005,GEZINA,"P.O.BOX 24005,GEZINA,0031","P.O.BOX 24005,GEZINA,0031",0123350252,0123352658,0825572266,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,226,98,,,,FALSE,,,
