NatEmis,ProvinceCD,Province,Institution_Name,Name,Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuildings,ExDept,PaypointNo,ComponentNo,ResponsibilityCode,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,StreetName,Street,StreetType,Township_Village,Suburb,Town_City,Postal Code,StreetAddress,Box_P_Bag,Post Office,PostalAddress,Telephone,TEL LENGTH,cellno,CELL LENGTH,Urban_Rural,Section21,Section21_Funct,Quintile,NAS,NodalArea,NAT,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,MAIN_SATELITE,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
105000798,1,WC,ABBOTT'S COLLEGE,ABBOTT'S,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,TO BE UPDATED,INDEPENDENT,TO BE UPDATED,TO BE UPDATED,000798,,TO BE UPDATED,9901,1329901,ABBOTT`S COLLEGE,18.471393,-33.984665,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100058,58,17106044,CLAREMONT,NOT APPLICABLE,METRO CENTRAL,CIRCUIT2,S,JACKSON,,GREENWOOD ROAD,GREENWOOD,ROAD,,CLAREMONT,WYNBERG,7708,"GREENWOOD ROAD,CLAREMONT,WYNBERG,7708",P.O. BOX 2317,CLAREINCH,"P.O. BOX 2317,CLAREINCH,7740",0216711173,10,0836513536,10,URBAN,NO,NONE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,NO,0,FALSE,FALSE,TO BE UPDATED,349,37,350,38,381,40,327,40,280,35,,TRUE,15,30,45
200100003,2,EC,ABERDEEN PRIMARY PUBLIC SCHOOL,ABERDEEN,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,TO BE UPDATED,DEPARTMENT OF EDUCATION AND TRAINING(DET),084101,084101,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,24.06113,-32.47425,NEIMS 2007,249,ABERDEEN,DC10,CACADU DISTRICT MUNICIPALITY,EC101,CAMDEBOO LOCAL MUNICIPALITY,21001001,99,20101000,NONE,NOT APPLICABLE,GRAAFF-REINET,CIRCUIT2,F,PIENAAR,8,8 PARLEMENT STREET,PARLEMENT,STREET,,,ABERDEEN,6270,"8 PARLEMENT STREET,ABERDEEN,6270",P.O.BOX 62,ABERDEEN,"P.O.BOX 62,ABERDEEN,6270",0498460031,10,0828756616,10,URBAN,YES,ABCD,4,N,NOT APPLICABLE,NOT APPLICABLE,NO,0,FALSE,FALSE,TO BE UPDATED,353,13,370,12,339,11,331,11,356,12,,TRUE,21,6,27
440304161,4,FS,ACCELERATED CHRISTIAN COLLEGE II/S,ACCELERATED,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,INDEPENDENT,INDEPENDENT,INDEPENDENT,99,,TO BE UPDATED,3171001,,A.C. COLLEGE,26.253097,-29.090178,FSED 2007,308,BLOEMFONTEIN,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702021,21,40502039,NOORDHOEK,NOT APPLICABLE,MOTHEO,CIRCUIT2,A,VAN DER LINDE,,RUDOLF GREYLING STREET,RUDOLF GREYLING,STREET,,,BLOEMFONTEIN,9310,"RUDOLF GREYLING STREET,BLOEMFONTEIN,9310",P.O.BOX  29480,,"P.O.BOX  29480,9330",0514083846,10,0866507373,10,URBAN,NO,NONE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,NO,0,FALSE,FALSE,TO BE UPDATED,370,15,421,16,388,15,390,14,385,14,,TRUE,1,,1
440304267,4,FS,ACCELERATED CHRISTIAN COLLEGE SI/S,ACCELERATED,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,INDEPENDENT,INDEPENDENT,INDEPENDENT,99,,TO BE UPDATED,3171018,3171001,NOT APPLICABLE,26.254997,-29.094711,FSED 2007,308,BLOEMFONTEIN,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702017,17,40502041,OOS EINDE,NOT APPLICABLE,MOTHEO,CIRCUIT2,D,COLE,,RUDOLF GREYLING STREET,RUDOLF GREYLING,STREET,,LANGENHOVENPARK,BLOEMFONTEIN,9310,"RUDOLF GREYLING STREET,LANGENHOVENPARK,BLOEMFONTEIN,9310",P.O.BOX  29480,,"P.O.BOX  29480,9330",05144717274082258,17,0828482739,10,URBAN,NO,NONE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,NO,0,FALSE,FALSE,TO BE UPDATED,169,8,181,9,187,7,196,8,176,7,,TRUE,1,4,5
800030452,8,MP,ACEK ACADEMY SECONDARY SCHOOL,ACEK,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,INDEPENDENT,TO BE UPDATED,NEW EDUCATION DEPARTMENT,99,,800030452,6604146,6241992,ACEK ACADEMY,,,TO BE UPDATED,TO BE UPDA,NEBO,DC32,EHLANZENI DISTRICT MUNICIPALITY,MP322,MBOMBELA LOCAL MUNICIPALITY,83202030,30,TO BE UPDATED,TO BE UPDATED,EHLANZENI,NOT APPLICABLE,WHITERIVER,A.B,CHALWE,18,18 WILLIAM LYNN STREET,WILLIAM LYNN,STREET,,,WHITE RIVER,1240,"18 WILLIAM LYNN STREET,WHITE RIVER,1240",P.O.BOX  3736,,"P.O.BOX  3736,,1240",0137513407,10,0721915495,10,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,NO,0,FALSE,FALSE,TO BE UPDATED,,,,,427,11,509,17,433,17,,TRUE,2,11,13
200100012,2,EC,ADELAIDE GYMNASIUM,ADELAIDE GYMNASIUM,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),074101,074101,TO BE UPDATED,517033,4171044,ADELAIDE GYMNASIUM,26.29476,-32.71036,ECED2007,244,ADELAIDE,DC12,AMATOLE DISTRICT MUNICIPALITY,EC128,NXUBA LOCAL MUNICIPALITY,21208001,99,21701000,NONE,NOT APPLICABLE,FORT BEAUFORT,CIRCUIT8,J,STROEBEL,,WELSH ADELAIDE STREET,WELSH ADELAIDE,STREET,,LINGELETHU,ADELAIDE,5760,"WELSH ADELAIDE STREET,LINGELETHU,ADELAIDE,5760",PRIVATE BAG X311,ADELAIDE,"PRIVATE BAG X311,ADELAIDE,5760",0466840006,10,0829685817,10,URBAN,YES,ABCD,4,N,NOT APPLICABLE,NOT APPLICABLE,NO,0,FALSE,FALSE,TO BE UPDATED,475,19,474,20,451,20,443,21,451,21,,TRUE,91,84,175
200100013,2,EC,ADELAIDE PRIMARY SCHOOL,ADELAIDE,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),074102,074102,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.29388,-32.70782,NEIMS 2007,244,ADELAIDE,DC12,AMATOLE DISTRICT MUNICIPALITY,EC128,NXUBA LOCAL MUNICIPALITY,21208001,99,21701000,NONE,NOT APPLICABLE,FORT BEAUFORT,CIRCUIT8,DS,VANHEERDEN,,GREY STREET,GREY,STREET,,LINGELETHU,ADELAIDE,5760,"GREY STREET,LINGELETHU,ADELAIDE,5760",P.O.BOX 7,ADELAIDE,"P.O.BOX 7,ADELAIDE,5760",0466840161,10,0823201221,10,URBAN,YES,ABCD,4,N,NOT APPLICABLE,NOT APPLICABLE,NO,0,FALSE,FALSE,TO BE UPDATED,264,10,248,11,270,10,277,10,284,10,,TRUE,42,40,82
444306220,4,FS,ADELINE MEJE P/S,ADELINE MEJE,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),125500,822125,6050,NOT APPLICABLE,,NOT APPLICABLE,26.941651,-27.185962,FSED 2007,264,VILJOENSKROON,DC20,FEZILE DABI DISTRICT MUNICIPALITY,FS201,MOQHAKA LOCAL MUNICIPALITY,42001023,23,41705000,RAMMULUTSI SP,NOT APPLICABLE,FEZILE DABI,14,Q.J,SEFUDI,2181,2181 RAMMULOTSI STREET,RAMMULOTSI,STREET,,,VILJOENSKROON,9520,"2181 RAMMULOTSI STREET,VILJOENSKROON,9520",P.O.BOX  701,VILJOENSKROON,"P.O.BOX  701,VILJOENSKROON,9520",0563430221,10,0725336894,10,URBAN,NO,NONE,1,N,NOT APPLICABLE,NOT APPLICABLE,YES,0,FALSE,FALSE,TO BE UPDATED,1152,35,1182,34,1074,35,1056,35,989,34,,TRUE,3,1,4
800029215,8,MP,ADULLAM CHRISTIAN SCHOOL,ADULLAM,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,INDEPENDENT,TO BE UPDATED,NEW EDUCATION DEPARTMENT,99,,800029215,NOT APPLICABLE,,NOT APPLICABLE,29.07871,-26.50476,GEOCODE 2010 GOOGLE EARTH,212,HOEVELDRIFT,DC30,GERT SIBANDE DISTRICT MUNICIPALITY,MP307,GOVAN MBEKI LOCAL MUNICIPALITY,83007010,10,80501003,STANDERTON (NU),GERT SIBANDE,NOT APPLICABLE,HIGHVELDRIDGE EAST,J.P,MALAN,,ADULLAM FARM,ADULLAM,FARM,,,EVANDER,2280,"ADULLAM FARM,EVANDER,2280",P.O.BOX  395,EVANDER,"P.O.BOX  395,EVANDER,2280",0176892001,10,0820931799,10,TO BE UPDATED,YES,ABCDE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,NO,0,FALSE,FALSE,TO BE UPDATED,125,10,142,11,139,10,147,11,135,8,,TRUE,6,7,13
200501564,2,EC,ADVENT COMPREHENSIVE SCHOOL,ADVENT,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,,TO BE UPDATED,103280,4032025,ADVENT COMPREHENSIVE SCHOOL,28.780246,-30.255675,GEOCODE 2010 GOOGLE EARTH,TO BE UPDA,TO BE UPDATED,DC44,ALFRED NZO DISTRICT MUNICIPALITY,EC441,MATATIELE LOCAL MUNICIPALITY,24401001,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MALUTI,LESEDI,THE,MANAGER,,,,,,,MALUTI,4740,"MALUTI,4740",P.O.BOX 182,MALUTI,"P.O.BOX 182,MALUTI,4740",0392560552,10,0823000020,10,TO BE UPDATED,YES,ABCD,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,NO,0,FALSE,FALSE,TO BE UPDATED,289,21,466,21,164,14,207,13,244,14,,TRUE,49,33,82
