NatEmis,ProvinceCD,Province,Institution_Name,Name,Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuildings,ExDept,PaypointNo,ComponentNo,ResponsibilityCode,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,StreetName,Street,StreetType,Township_Village,Suburb,Town_City,Postal Code,StreetAddress,Box_P_Bag,Post Office,PostalAddress,Telephone,TEL LENGTH,cellno,CELL LENGTH,Urban_Rural,Section21,Section21_Funct,Quintile,NAS,NodalArea,NAT,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,MAIN_SATELITE,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
700311704,7,GT,ACTONVILLE TRAINING CENTRE,ACTONVILLE,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),905001,917154,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,28.3564516667,-26.189441667,GDE2009,325,BENONI,EKU,EKHURULENI METROPOLITAN MUNICIPALITY,EKU,EKURHULENI METROPOLITAN MUNICIPALITY,79300073,73,60319023,RUSTENBURG NU,NOT APPLICABLE,EKURHULENI NORTH,TO BE UPDATED,J,RATTAY,1,1 MC ALPINE AND MODDERBEE ROAD,MC ALPINE AND MODDERBEE,ROAD,,,BENONI,1500,"1 MC ALPINE AND MODDERBEE ROAD,BENONI,1500",P.O.BOX 18121,ACTONVILLE,"P.O.BOX 18121,ACTONVILLE,1506",0114232411,10,0825529478,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,520,107,,FALSE,,,
700133652,7,GT,ADELAIDE TAMBO SCHOOL,ADELAIDE TAMBO,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,PHYSICAL DISABILITY,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),911001,914001,TO BE UPDATED,133652,8133652,ADELAIDE TAMBO (J C MERKIN WHITE CITY,27.8761933338,-26.2490533337,GDE2009,199,RANDFONTEIN,DC48,WEST RAND DISTRICT MUNICIPALITY,GT482,RANDFONTEIN LOCAL MUNICIPALITY,79400035,35,60319023,RUSTENBURG NU,NOT APPLICABLE,JOHANNESBURG CENTRAL,TO BE UPDATED,MR. N.H,MEMANI,3132,3132 DIOKANE DRIVE,DIOKANE,DRIVE,,KWA-XUMA SOWETO,JOHANNESBURG,1868,"3132 DIOKANE DRIVE,KWA-XUMA SOWETO,JOHANNESBURG,1868",P.O.BOX 82424,SOUTHDALE,"P.O.BOX 82424,SOUTHDALE,2135",0119844000,10,0832874748,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,378,162,,FALSE,,,
106494631,1,WC,AGAPESKOOL,AGAPE,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,CEREBRAL PALSY & PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,494631,000940,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.62341791,-34.06364049,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100082,82,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT4,B,LAMBERT,,H/V SENTINEL EN YELLOWWOOD ROAD,H/V SENTINEL EN YELLOWWOOD,ROAD,,TAFELSIG,MITCHELL'S PLAIN,7785,"H/V SENTINEL EN YELLOWWOOD ROAD,TAFELSIG,MITCHELL'S PLAIN,7785",POSBUS 223,MITCHELL'S PLAIN,"POSBUS 223,MITCHELL'S PLAIN,7784",0213924162,10,0824077310,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,220,107,,FALSE,,,
113008387,1,WC,AGULHAS SCHOOL OF SKILLS,AGULHAS,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,WESTERN CAPE EDUCATION DEPARTMENT,99,333654,TO BE UPDATED,99,,N/A,,,WCED,13,BREDASDORP,TO BE UPDATED,OVERBERG DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,OVERBERG,01,A,BOTHA,,STEYN STREET,STEYN,STREET,,,NAPIER,,"STEYN STREET,NAPIER,",P.O.BOX  17,NAPIER,"P.O.BOX  17,NAPIER,7270",0284233235,10,0823748973,10,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,158,13,,FALSE,,,
700400095,7,GT,ALBERTINA SISULU SPECIAL SCHOOL,ALBERTINA SISULU,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INDUSTRIAL: CHILD WELFARE,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,99,912127,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,27.9169116666,-26.2268600002,GDE2009,322,SOWETO,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79400039,39,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG WEST,TO BE UPDATED,B,LUSHOZI,9394,9394 MOPHIRING STREET,MOPHIRING,STREET,SOWETO,,JOHANNESBURG,1804,"9394 MOPHIRING STREET,SOWETO,JOHANNESBURG,1804",P.O.BOX 90554,BERTSHAM,"P.O.BOX 90554,BERTSHAM,2013",0119392454,10,0829920171,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,204,71,,FALSE,,,
200601153,2,EC,ALIWAL NORTH AMASANGO CAREER SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,SPECIAL NEEDS EDUCATION,PUBLIC,TO BE UPDATED,TO BE UPDATED,021435,021435,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.7055,-30.69535,NEIMS 2007,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT2,MR .G,GELDENHUYS,18,18 MURRAY -OLD STATION BUILDING STREET,MURRAY -OLD STATION BUILDING,STREET,,,ALIWAL NORTH,9750,"18 MURRAY -OLD STATION BUILDING STREET,ALIWAL NORTH,9750",P.O.BOX 402,ALIWALNORTH,"P.O.BOX 402,ALIWALNORTH,9750",0516342002,10,0828647564,10,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Y,UKHAHLAMBA,RURAL,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,245,75,,FALSE,,,
200600014,2,EC,ALIWAL NORTH TECH ORIENT SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,MILD AND MODERATELY HANDICAPPED,PUBLIC,TO BE UPDATED,HOUSE OF REPRESENTATIVES(HOR),021437,021437,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.71701,-30.69246,ECED2007,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT2,F,BROWN,,OLD LADY-GREY ROAD,OLD LADY-GREY,ROAD,,,ALIWAL NORTH,9750,"OLD LADY-GREY ROAD,ALIWAL NORTH,9750",P.O.BOX 209,ALIWAL NORTH,"P.O.BOX 209,ALIWAL NORTH,9750",0516332681,10,,,RURAL,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Y,UKHAHLAMBA,RURAL,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,173,86,,FALSE,,,
700230136,7,GT,ALMASKOOL,ALMA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),903001,903001,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,28.1965616665,-25.713086667,GDE2009,204,PRETORIA,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79600054,54,77612066,LUKASRAND,NOT APPLICABLE,TSHWANE NORTH,TO BE UPDATED,Z.B,BONDESIO,404,404 FRANZINA STREET,FRANZINA,STREET,,ELOFFSDAL,PRETORIA,0084,"404 FRANZINA STREET,ELOFFSDAL,PRETORIA,0084",P.O.BOX 24005,GEZINA,"P.O.BOX 24005,GEZINA,0031",0123350252,10,0825572266,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,226,98,,FALSE,,,
103484644,1,WC,ALPHA SKOOL,ALPHA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,AUTISTIC SPECTRUM DISORDERS,PUBLIC,PUBLIC,TO BE UPDATED,484644,000947,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.45076525,-33.93539787,WCED,65,SIMONSTAD,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100057,57,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO CENTRAL,CIRCUIT4,N,KEARNS,84,84 PALMERSTON ROAD,PALMERSTON,ROAD,,WOODSTOCK,CAPE TOWN,7925,"84 PALMERSTON ROAD,WOODSTOCK,CAPE TOWN,7925",POSBUS 48,WOODSTOCK,"POSBUS 48,WOODSTOCK,7925",0214471213,10,0835193953,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,72,47,,FALSE,,,
107315600,1,WC,ALTA DU TOIT SKOOL,ALTA DU TOIT,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,TO BE UPDATED,TO BE UPDATED,315600,005976,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.69771932,-33.92758596,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100011,11,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT1,M.J.,DU TOIT,,PIET FRANSMAN STREET,PIET FRANSMAN,STREET,,,KUILSRIVIER,,"PIET FRANSMAN STREET,KUILSRIVIER,",PRIVAATSAK X10,KUILSRIVIER,"PRIVAATSAK X10,KUILSRIVIER,7580",0219034178,10,0836712195,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,345,148,,FALSE,,,
500101232,5,KZ,AM MOOLLA SPES NOVA  FOR CP CHILDREN,AM MOOLLA ES NOVA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,99,060120,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,30.99131,-29.69208,NEIMS 2007,33,INANDA,ETH,ETHEKWINI METROPOLITAN MUNICIPALITY,ETH,ETHEKWINI METROPOLITAN MUNICIPALITY,59200052,52,61402006,LOWER MAJEAKGORO,ETHEKWINI,PINETOWN,PHOENIX,MR. A,APPANNA,313,313 LENHAM DRIVE,LENHAM,DRIVE,,PHOENIX,DURBAN,4300,"313 LENHAM DRIVE,PHOENIX,DURBAN,4300",PRIVATE BAG X09,MOUNT EDGECOMBE,"PRIVATE BAG X09,MOUNT EDGECOMBE,4300",0315003801,10,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,337,93,,FALSE,,,
444712104,4,FS,AMARI-SKOOL SPEC,AMARI,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),131225,162500,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.752964,-27.95208,FSED 2007,314,WELKOM,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS184,MATJHABENG LOCAL MUNICIPALITY,41804034,34,41022002,DAGBREEK,NOT APPLICABLE,LEJWELEPUTSWA,CIRCUIT9,EP,SCOTT,,ARRARAT ROAD,ARRARAT,ROAD,,,WELKOM,9460,"ARRARAT ROAD,WELKOM,9460",PRIVATE BAG X67,WELKOM,"PRIVATE BAG X67,WELKOM,9460",0573528463,10,0844583009,10,URBAN,YES,ABCDE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,223,21,239,25,207,,203,125,,FALSE,,,
200101020,2,EC,AMASANGO CAREER SCHOOL,AMASANGO,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,SPECIAL NEEDS EDUCATION,PUBLIC,TO BE UPDATED,TO BE UPDATED,054102,054102,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,27.73701,-33.00726,ECED2007,47,OOS-LONDEN/EAST LONDON,DC12,AMATOLE DISTRICT MUNICIPALITY,EC125,BUFFALO CITY LOCAL MUNICIPALITY,21205031,31,21410001,EAST LONDON NU,NOT APPLICABLE,EAST LONDON,CIRCUIT1,R.B,XUZA,,OLD MT COKE ROAD,OLD MT COKE,ROAD,DEERFIELD,DEERFIELD,EAST LONDON,5200,"OLD MT COKE ROAD,DEERFIELD,DEERFIELD,EAST LONDON,5200",POST OFFICE 5200,EASTLONDON,"POST OFFICE 5200,EASTLONDON,5200",0437369205,10,0839653708,10,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,140,69,,FALSE,,,
993304404,9,LP,ANKURA ACADEMY,ANKURA,OPEN,INDEPENDENT,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,THE,MANAGER,,,,,,,,,,,,,,,,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,,6,,FALSE,,,
200201026,2,EC,ARCADIA SCHOOL,ARCADIA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,REMEDIAL,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),054105,054105,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,27.89586,-33.00424,ECED2007,47,OOS-LONDEN/EAST LONDON,DC12,AMATOLE DISTRICT MUNICIPALITY,EC125,BUFFALO CITY LOCAL MUNICIPALITY,21205003,3,21414000,NONE,NOT APPLICABLE,EAST LONDON,CIRCUIT3,D.L,BANDS,,KIMBERLEY ROAD,KIMBERLEY,ROAD,,,EAST LONDON,5219,"KIMBERLEY ROAD,EAST LONDON,5219",PRIVATE BAG X9049,,"PRIVATE BAG X9049,5200",0437435503,10,,,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,197,114,,FALSE,,,
500103563,5,KZ,ARTHUR BLAXALL,ARTHUR BLAXALL,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,VISUAL IMPAIRMENT,PUBLIC,PUBLIC,TO BE UPDATED,99,060124,TO BE UPDATED,5311326,5311302,ARTHUR BLAXALL SCHOOL,30.40466,-29.58596,NEIMS 2007,226,PIETERMARITZBURG,DC22,UMGUNGUNDLOVU DISTRICT MUNICIPALITY,KZN225,THE MSUNDUZI LOCAL MUNICIPALITY,52205035,35,TO BE UPDATED,TO BE UPDATED,UMGUNGUNDLOVU,UMGUNGUNDLOVU,PIETERMARITZBURG,MR. D. C,FRANK,87,87 ROYSTON ROAD,ROYSTON,ROAD,,MOUNTAIN RISE,PIETERMARITZBURG,3201,"87 ROYSTON ROAD,MOUNTAIN RISE,PIETERMARITZBURG,3201",P.O.BOX 8132,CUMBERWOOD,"P.O.BOX 8132,CUMBERWOOD,3201",0333871400,10,0825701573,10,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,210,105,,FALSE,,,
996606800,9,LP,ASIPHUMELELE,ASIPHUMELELE,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,SPECIAL NEEDS EDUCATION,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,GREATER SEKHUKHUNE,GROBLERSDAL,THE,MANAGER,,,,,,,,1047,1047,PO BOX 671,,"PO BOX 671,",,,0737243316,10,TO BE UPDATED,NO,TO BE UPDATED,TO BE UPDATED,N,TO BE UPDATED,TO BE UPDATED,NO,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,,1,,FALSE,,,
102484679,1,WC,ASTRA SKOOL,ASTRA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,484679,000945,TO BE UPDATED,2246,,ASTRA SKOOL,18.57540088,-33.96305896,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100031,31,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT6,MNR. M,COOK,,PALOTTI ROAD,PALOTTI,ROAD,,MONTANA,BELLVILLE,7490,"PALOTTI ROAD,MONTANA,BELLVILLE,7490",POSBUS 21106,DURRHEIM,"POSBUS 21106,DURRHEIM,7490",0219340155,10,0835992523,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,286,144,,FALSE,,,
101324612,1,WC,ATHLONE SKOOL VIR BLINDES,ATHLONE,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,VISUAL IMPAIRMENT,PUBLIC,PUBLIC,TO BE UPDATED,324612,000924,TO BE UPDATED,2201,1342201,ATHLONE SKOOL VIR BLINDES,18.65246278,-33.91456472,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100009,9,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT1,F.H,FISHER,,ATHLONE STREET,ATHLONE,STREET,,BELLVILLE SOUTH,BELLVILLE,7530,"ATHLONE STREET,BELLVILLE SOUTH,BELLVILLE,7530",PRIVAATSAK X1,KASSELSVLEI,"PRIVAATSAK X1,KASSELSVLEI,7533",0219512234,10,0822953415,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,397,235,,FALSE,,,
103447897,1,WC,ATLANTIS SCHOOL OF SKILLS,ATLANTIS,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,MILD AND MODERATELY HANDICAPPED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,18.56865,-33.87948,GEOCODE 2010 GOOGLE EARTH,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100001,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,TO BE UPDATED,THE,MANAGER,,GOUDA STREET,GOUDA,STREET,WESFLEUR,,ATLANTIS,7349,"GOUDA STREET,WESFLEUR,ATLANTIS,7349",PRIVATE BAG X1,DASSENBERG,"PRIVATE BAG X1,DASSENBERG,7349",0215725022,10,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,,,,FALSE,,,
132447897,1,WC,ATLANTIS VAARDIGHEIDSKOOL,ATLANTIS VAARDIGHEID,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SCHOOL OF SKILL,SPECIAL NEEDS EDUCATION,PUBLIC,PUBLIC,TO BE UPDATED,447897,040287,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.48233597,-33.56519038,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100029,29,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT2,ME. J,ERASMUS,,GOUDA STREET,GOUDA,STREET,,,ATLANTIS,,"GOUDA STREET,ATLANTIS,",PRIVAATSAK X1,DASSENBERG,"PRIVAATSAK X1,DASSENBERG,7350",0215725022,10,0767508227,10,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,233,75,,FALSE,,,
923242552,9,LP,BANA-BATHARI SCHOOL,BANA-BATHARI,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,890011,411891,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,29.6867,-23.76857,NEIMS 2007,211,THABAMOOPO,DC35,CAPRICORN DISTRICT MUNICIPALITY,LIM354,POLOKWANE LOCAL MUNICIPALITY,93504032,32,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,CAPRICORN,DIMAMO,M .A,DIKOTLA,,,,,,,SOLOMONDALE,0727,"SOLOMONDALE,0727",P.O.BOX638,SOVENGA,"P.O.BOX638,SOVENGA,0727",0152636120,10,0839576063,10,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,233,78,,FALSE,,,
