NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,PED_Institution,PED_Name,DoE_Status,PED_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,Phase_PED,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,CloseDate1,CloseReason1,CloseDate2,CloseReason2,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,Snap_Learners_2012,Educator_Numbers_2012,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
442710218,442710218,4,FS,THEBE P/S,THEBE P/S,THEBE P/S,THEBE P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),129516,822793,7315,99,TO BE UPDATED,28.122346,-27.65995,FSED 2007,331,LINDLEY,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS193,NKETOANA LOCAL MUNICIPALITY,41903002,2,41408000,PETRUS STEYN SP,NOT APPLICABLE,THABO MOFUTSANYANA,21,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,ZZ,MOHLABANE,544,MAMAFUBEDU,,544 MAMAFUBEDU ,,PETRUS STEYN,PETRUSSTEYN,9640,"544 MAMAFUBEDU,PETRUS STEYN,PETRUSSTEYN,9640",P.O.BOX 113,PETRUSSTEYN,9640,"P.O.BOX 113,PETRUSSTEYN,9640",058-871 3914,0827070860,Urban,No,NONE,2,N,NOT APPLICABLE,NOT APPLICABLE,,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,442710218,442710218,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS42710218,0,TO BE UPDATED,TO BE UPDATED,1172,35,1139,37,1214,34,1243,35,1257,39,1326,37,,,,TRUE,,1,1
440203105,440203105,4,FS,WONGALETHU S/S,WONGALETHU S/S,WONGALETHU S/S,WONGALETHU S/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),122229,820523,9347,3161044,WONGALETHU SEC,25.977515,-30.506251,FREE STATE,353,BETHULIE,DC16,XHARIEP DISTRICT MUNICIPALITY,FS162,KOPANONG LOCAL MUNICIPALITY,41602003,3,40210001,BETHULIE NU,NOT APPLICABLE,XHARIEP,16,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,ZZ,DINGAAN,1047,JIM FOUCHE,STREET,1047 JIM FOUCHE STREET,LEPHOI TOWNSHIP,,BETHULIE,9992,"1047 JIM FOUCHE STREET,LEPHOI TOWNSHIP,BETHULIE,",P.O.BOX 211,BETHULIE,9992,"P.O.BOX 211,BETHULIE,9992",051-763 0685,0824289641,Urban,No,NONE,3,N,NOT APPLICABLE,NOT APPLICABLE,,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,440203105,440203105,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS40203105,0,TO BE UPDATED,TO BE UPDATED,550,20,608,22,658,21,653,20,646,24,653,24,,,,TRUE,1,1,2
445105185,445105185,4,FS,MOLAPO S/S,MOLAPO S/S,MOLAPO S/S,MOLAPO S/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),124216,912046,9556,3192018,MOLAPO SEC SCHOOL,28.859027,-28.541408,FSED 2007,333,WITSIESHOEK,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS194,MALUTI A PHOFUNG LOCAL MUNICIPALITY,41904024,24,41510010,TEBANG,NOT APPLICABLE,THABO MOFUTSANYANA,18,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,ZP,KHAMBULE ,,MATSHEKGENG,,MATSHEKGENG,,MAKWANE,PHUTHADITJHABA,9866,"MATSHEKGENG,MAKWANE,PHUTHADITJHABA,9866",P.O.BOX 5511,PHUTHADITJHABA,9866,"P.O.BOX 5511,PHUTHADITJHABA,9866",058-717 3881,0833634921,Urban,Yes,ABCDE,1,Y,MALUTI-A-PHOFUNG,RURAL,,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,445105185,445105185,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS45105185,0,TO BE UPDATED,TO BE UPDATED,966,36,961,30,912,37,864,37,829,37,773,35,,,,TRUE,,1,1
700121418,121418,7,GT,ISIPHO PRIMARY SCHOOL,ISIPHO PRIMARY SCHOOL,ISIPHO PRIMARY,ISIPHO PRIMARY,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),914080,914080,TO BE UPDATED,99,NOT APPLICABLE,27.8721499999,-26.2705900003,GDE2010,322,SOWETO,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79400019,19,77426005,DLAMINI,NOT APPLICABLE,JOHANNESBURG CENTRAL,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,ZN,DABULA,144,NGULUBE,STREET,144 NGULUBE STREET,,DLAMINI2,SOWETO,1818,"144 NGULUBE STREET,DLAMINI2,SOWETO,1818",P.O.BOX 105,"TSHIAWELO,SOWETO",1818,"P.O.BOX 105,TSHIAWELO,SOWETO,1818",0119844304,0825560022,URBAN,YES,ACD,2,N,NOT APPLICABLE,NOT APPLICABLE,,YES,905,FALSE,TRUE,NOT MOVED,TO BE UPDATED,GT,GT,700121418,700121418,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,GP121418,0,TO BE UPDATED,TO BE UPDATED,414,10,434,11,365,9,368,10,422,9,453,10,,,,TRUE,2,1,3
441705107,441705107,4,FS,BOIPOPO I/S,BOIPOPO I/S,BOIPOPO I/S,BOIPOPO I/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,INTERMEDIATE SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),124500,823079,9672,99,TO BE UPDATED,29.017705,-28.306254,FSED 2007,279,HARRISMITH,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS194,MALUTI A PHOFUNG LOCAL MUNICIPALITY,41904004,4,41517001,TSHIAME A,NOT APPLICABLE,THABO MOFUTSANYANA,1,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,ZM,TSATSA,1681,TSHIAME,,1681 TSHIAME ,,WILGEPARK,HARRISMITH,9880,"1681 TSHIAME,WILGEPARK,HARRISMITH,9880",P.O.BOX 1118,HARRISMITH,9880,"P.O.BOX 1118,HARRISMITH,9880",058-635 2340,0720505023,Urban,Yes,ABCDE,3,Y,MALUTI-A-PHOFUNG,RURAL,,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,441705107,441705107,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS41705107,0,TO BE UPDATED,TO BE UPDATED,731,26,833,27,770,24,744,23,701,23,472,21,,,,TRUE,4,4,8
441304246,441304246,4,FS,LUCKHOFF P/S,LUCKHOFF P/S,LUCKHOFF P/S,LUCKHOFF P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),123237,193120,5308,99,TO BE UPDATED,24.786366,-29.751132,FSED 2007,258,FAURESMITH,DC16,XHARIEP DISTRICT MUNICIPALITY,FS161,LETSEMENG LOCAL MUNICIPALITY,41601001,99,40108000,LUCKHOFF SP,NOT APPLICABLE,XHARIEP,15,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,Z,VAN VUUREN,,VOORTREKKER,STREET,VOORTREKKER STREET,,LUCKHOF,LUCKHOFF,9982,"VOORTREKKER STREET,LUCKHOF,LUCKHOFF,9982",P.O.BOX 126,LUCKHOFF,9982,"P.O.BOX 126,LUCKHOFF,9982",053-206 0084,0737849711,Urban,Yes,ABCDE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,441304246,441304246,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS41304246,0,TO BE UPDATED,TO BE UPDATED,87,6,96,5,77,6,93,6,88,6,98,6,,,,TRUE,6,2,8
200200838,200838,2,EC,THEMBALESIZWE SECONDARY SCHOOL,THEMBALESIZWE,THEMBALESIZWE S SCHOOL,THEMBALESIZWE S SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SPECIAL NEEDS EDUCATION SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,CISKEI,114546,114546,TO BE UPDATED,4191103,THEMBALESIZWE (19),27.52671,-32.88701,ECED2007,158,ZWELITSHA,DC12,AMATOLE DISTRICT MUNICIPALITY,EC125,BUFFALO CITY LOCAL MUNICIPALITY,21205045,45,21421000,NONE,NOT APPLICABLE,KING WILLIAMS TOWN,14,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,Z,MADONONO,,ILITHA,TOWNSHIP,ILITHA TOWNSHIP,ILITHA,BERLIN,EAST LONDON,5606,"THEMBALESIZWE SSS,ILITHA,5606",P.O.BOX 106,ILITHA,5606,"P.O.BOX 106,ILITHA,5606",,0839866171,URBAN,YES,ABCD,,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-81,,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,EC,EC,200200838,200200838,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,EC200838,0,TO BE UPDATED,TO BE UPDATED,333,15,413,17,275,16,216,16,153,16,202,15,,,,TRUE,112,194,306
442103279,442103279,4,FS,PHAMBILI P/S,PHAMBILI P/S,PHAMBILI P/S,PHAMBILI P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,FREE STATE EDUCATION DEPARTMENT,123560,840714,5329,99,TO BE UPDATED,24.667203,-29.106816,FSED 2007,259,JACOBSDAL,DC16,XHARIEP DISTRICT MUNICIPALITY,FS161,LETSEMENG LOCAL MUNICIPALITY,41601003,3,40107002,JACOBSDAL NU,NOT APPLICABLE,XHARIEP,6,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,Y.S. ,LLOYD ,,MODDERRIVER MAIN,ROAD,MODDERRIVER MAIN ROAD,,WEST END,JACOBSDAL,8301,"MODDERRIVER MAIN RD ROAD,WEST END,JACOBSDAL,8301",P.O.BOX 1542,KIMBERLEY,8301,"P.O.BOX 1542,KIMBERLEY,8301",053-5817200,0736681324,Urban,No,NONE,1,N,NOT APPLICABLE,NOT APPLICABLE,25-Oct-99,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,442103279,442103279,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS42103279,0,TO BE UPDATED,TO BE UPDATED,222,8,178,8,207,9,211,11,195,9,166,8,,,,TRUE,12,18,30
442506318,442506318,4,FS,KROONSTAD CS/S,KROONSTAD CS/S,KROONSTAD CS/S,KROONSTAD CS/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SCHOOL,COMPREHENSIVE,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),125211,194206,6295,3202019,TO BE UPDATED,27.232863,-27.633329,FSED 2007,316,KROONSTAD,DC20,FEZILE DABI DISTRICT MUNICIPALITY,FS201,MOQHAKA LOCAL MUNICIPALITY,42001003,3,41701004,ELANDIA,NOT APPLICABLE,FEZILE DABI,16,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,WL,DRINKWATER,,NORTH,ROAD,NORTH ROAD,,MOREWAG,KROONSTAD,9500,"NORTH ROAD,MOREWAG,KROONSTAD,9500",PRIVATE BAG X38,MREWAG,9500,"PRIVATE BAG X38,MREWAG,9500",056-212 4551,0834116259,Urban,Yes,ABCDE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,FS,FS,442506318,442506318,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS42506318,0,TO BE UPDATED,TO BE UPDATED,831,,722,36,631,36,574,35,581,35,584,34,,,,TRUE,35,78,113
444306320,444306320,4,FS,SALOMON SENEKAL C/S,SALOMON SENEKAL C/S,SALOMON SENEKAL C/S,SALOMON SENEKAL C/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,COMBINED SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),125227,194302,6045,3202038,SALOMON SENEKAL,26.951151,-27.20696,FSED 2007,264,VILJOENSKROON,DC20,FEZILE DABI DISTRICT MUNICIPALITY,FS201,MOQHAKA LOCAL MUNICIPALITY,42001025,25,41709000,VILJOENSKROON SP,NOT APPLICABLE,FEZILE DABI,7,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,WJN,KIESSIG,,VILJOEN,STREET,VILJOEN STREET,,,VILJOENSKROON,9520,"VILJOEN STREET,VILJOENSKROON,9520",PRIVATE BAG X06,VILJOENSKROON,9520,"PRIVATE BAG X06,VILJOENSKROON,9520",056-3432821,0823767629,Urban,Yes,ABCDE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,FS,FS,444306320,444306320,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS44306320,0,TO BE UPDATED,TO BE UPDATED,419,23,438,23,343,23,390,22,413,22,364,24,,,,TRUE,19,20,39
