NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,PED_Institution,PED_Name,DoE_Status,PED_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,Phase_PED,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,CloseDate1,CloseReason1,CloseDate2,CloseReason2,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO
800034511,800034511,8,MP,AGAPE PRE-SCHOOL,AGAPE,AGAPE PRE-SCHOOL,AGAPE PRE-SCHOOL,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,800034511,99,NOT APPLICABLE,29.10939,-25.83799,NEIMS 2007,210,WITBANK,DC31,NKANGALA DISTRICT MUNICIPALITY,MP312,EMALAHLENI LOCAL MUNICIPALITY,83102002,2,TO BE UPDATED,TO BE UPDATED,NKANGALA,NOT APPLICABLE,WITBANK2,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,ZULU,ZULU,,,,,,KWA-GUQA,WITBANK,1039,"KWA-GUQA,WITBANK,1039",P.O.BOX 5146,"EMALAHLENI,WITBANK",1039,"P.O.BOX 5146,EMALAHLENI,WITBANK,1039",0136957020,0847752621,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,,Y,BUSHBUCKRIDGE,RURAL,02-Jan-00,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,MP,MP,800034511,800034511,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,MP800034511,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,68,,,,,,,FALSE,,,,
200800953,800953,2,EC,CENTANE VILLAGE PRE-SCHOOL,CENTANE,CENTANE VILLAGE PRE-SCHOOL,CENTANE VILLAGE PRE-SCHOOL,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,TO BE UPDATED,TO BE UPDATED,024128,024128,TO BE UPDATED,99,NOT APPLICABLE,28.19204,-32.30572,NEIMS 2007,154,GCUWA/BUTTERWORTH,DC12,AMATOLE DISTRICT MUNICIPALITY,EC122,MNQUMA LOCAL MUNICIPALITY,21202007,7,21111000,NONE,NOT APPLICABLE,BUTTERWORTH,CIRCUIT 4,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,Z.Z,BIJA,,CENTANE/ BELL,AVENUE,CENTANE/ BELL AVENUE,,CENTANE,BUTTERWORTH,4980,"COMMUNITY CENTERE,KENTANI,4980",P.O.BOX 216,KENTANE,4980,"P.O.BOX 216,KENTANE,4980",,0723273128,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-03,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,EC,EC,200800953,200800953,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,EC800953,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,38,,,,,,,FALSE,,,,
108007668,0108007668,1,WC,VUZOKUHLE PRE-PRIM.,VUZOKUHLE,VUZOKUHLE PRE-PRIM.,VUZOKUHLE PRE-PRIM.,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,18.991456,-33.676037,TO BE UPDATED,175,PAARL,DC2,CAPE WINELANDS DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,CAPE WINELANDS,03,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,Z.H.,DYONGO,590,PHOKENG,STREET,590 PHOKENG STREET,,MBEKWENI,WELLINGTON,7626,"590 PHOKENG STREET,MBEKWENI,WELLINGTON,7626",P.O.BOX 8012,"MBEKWENI,PAARL",7626,"P.O.BOX 8012,MBEKWENI,PAARL,7626",0218684084,0823995862,RURAL,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,WC,WC,108007668,108007668,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,260,15,,,,,,,,71,,,,,,,FALSE,,,,
200800975,800975,2,EC,NOMPUCUKO PRE-SCHOOL,NOMPUCUKO,NOMPUCUKO PRE-SCHOOL,NOMPUCUKO PRE-SCHOOL,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,TO BE UPDATED,TO BE UPDATED,024366,024366,TO BE UPDATED,99,NOT APPLICABLE,28.11017,-32.15021,NEIMS 2007,237,NQAMAKWE,DC12,AMATOLE DISTRICT MUNICIPALITY,EC122,MNQUMA LOCAL MUNICIPALITY,21202020,20,21104016,ELALINI,NOT APPLICABLE,BUTTERWORTH,CIRCUIT 8,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,Z.C,BULUBE,,TANGA,VILLAGE,TANGA VILLAGE,,TANGA A/A,BUTTERWORTH,4960,"TANGA A/A,P.O. BOX 419,BUTTERWORTH,4960",P.O.BOX 125,BUTTERWORTH,4960,"P.O.BOX 125,BUTTERWORTH,4960",,0839846019,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,EC,EC,200800975,200800975,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,EC800975,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,15,,,,,,,FALSE,,,,
445203423,445203423,4,FS,BOITUMELO DAY CARE,BOITUMELO DAY CARE,BOITUMELO DAY CARE,BOITUMELO DAY CARE,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,27.00491,-29.58913,FSED 2007,343,WEPENER,DC17,MOTHEO DISTRICT MUNICIPALITY,FS171,NALEDI LOCAL MUNICIPALITY,41701002,2,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MOTHEO,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,Z.,MARUMO,146,PHAHAMENG,LOCATION,146 PHAHAMENG LOCATION,NALEDI RURAL,NALEDI RURAL,NALEDI,9945,"146 PHAHAMENG LOCATION,NALEDI RURAL,NALEDI RURAL,NALEDI,9945",P.O.BOX 53,VAN STADENSRUS,9945,"P.O.BOX 53,VAN STADENSRUS,9945",051-584 1111,,Urban,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,FS,FS,445203423,445203423,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS45203423,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,28,,,,,,,FALSE,,,,
118354422,0118354422,1,WC,PARKDENE PREPRIM.,PARKDENE,PARKDENE PREPRIM.,PARKDENE PREPRIM.,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PRIVATE,TO BE UPDATED,TO BE UPDATED,354422,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,22.47766,-33.99304,TO BE UPDATED,55,GEORGE,DC4,EDEN DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,EDEN AND CENTRAL KAROO,03,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,Z.,JOSEPH,16,ORION,STREET,16 ORION STREET,,BALLOTSVIEW,GEORGE,6530,"16 ORION STREET,BALLOTSVIEW,GEORGE,6530",P.O.BOX 83,GEORGE,6530,"P.O.BOX 83,GEORGE,6530",0448759083,0769424122,RURAL,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,WC,WC,118354422,118354422,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,42,,,,,,,FALSE,,,,
200800910,800910,2,EC,AMADIBA PRE-PRIMARY,AMADIBA,AMADIBA PRE-PRIMARY,AMADIBA PRE-PRIMARY,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,TO BE UPDATED,TO BE UPDATED,014328,014328,TO BE UPDATED,99,NOT APPLICABLE,30.17876,-31.07307,NEIMS 2007,38,BIZANA,DC15,OLIVER TAMBO DISTRICT MUNICIPALITY,EC151,MBIZANA LOCAL MUNICIPALITY,21501024,24,23001009,MNGUNGUNDLOVU,NOT APPLICABLE,MBIZANA,Imfolozi,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,Z .D,BUWA,,,,,,,BIZANA,4800,"MGUNGUNDLOVU A/A,LURHOLWENI LOCATION,BIZANA,4800",P.O.BOX 152,BIZANA,4800,"P.O.BOX 152,BIZANA,4800",,0833328654,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,,Y,O.R.TAMBO,RURAL,01-Jan-88,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,EC,EC,200800910,200800910,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,EC800910,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,56,,,,,,,FALSE,,,,
800022541,800022541,8,MP,SUNBEAMS NURSERY SCH0OL,SUNBEAMS,SUNBEAMS NURSERY SCH0OL,SUNBEAMS NURSERY SCH0OL,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PRIVATE,PRIVATE,TRANSVAAL EDUCATION DEPARTMENT(TED),TO BE UPDATED,TO BE UPDA,800022541,99,NOT APPLICABLE,,,TO BE UPDATED,121,MIDDELBURG,DC31,NKANGALA DISTRICT MUNICIPALITY,MP313,STEVE TSHWETE LOCAL MUNICIPALITY,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NKANGALA,NOT APPLICABLE,MIDDELBURG1,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,Z,ZMSWART,,,,,,,MIDDLEBURG,1050,"MIDDLEBURG,1050",P.O.BOX 3127,MIDDLEBURG,1050,"P.O.BOX 3127,MIDDLEBURG,1050",0132826304,0845878065,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-94,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,MP,MP,800022541,800022541,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,48,,,,,,,FALSE,,,,
800008102,800008102,8,MP,KLEUTERSKOOL GANSIEKEUR,GANSIEKEUR,KLEUTERSKOOL GANSIEKEUR,KLEUTERSKOOL GANSIEKEUR,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,TRANSVAAL EDUCATION DEPARTMENT(TED),302101,302101,800008102,99,NOT APPLICABLE,29.46281,-25.77202,NEIMS 2007,121,MIDDELBURG,DC31,NKANGALA DISTRICT MUNICIPALITY,MP313,STEVE TSHWETE LOCAL MUNICIPALITY,83103014,14,TO BE UPDATED,TO BE UPDATED,NKANGALA,NOT APPLICABLE,MIDDELBURG1,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,Z,WEPENER,11,WEBER MIDDELBURG,STREET,11 WEBER MIDDELBURG STREET,,,MIDDELBURG,1050,"11 WEBER STR MIDDELBURG STREET,MIDDELBURG,1050",P.O.BOX 2312,MIDDELBURG,1050,"P.O.BOX 2312,MIDDELBURG,1050",0132827274,0825742449,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,15-Jul-92,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,MP,MP,800008102,800008102,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,MP800008102,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,28,,,,,,,FALSE,,,,
445503170,445503170,4,FS,SECHABA DAY CARE CENTRE,SECHABA DAY CARE CENTRE,SECHABA DAY CARE CENTRE,SECHABA DAY CARE CENTRE,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,27.05583,-30.17894,FSED 2007,344,ZASTRON,DC16,XHARIEP DISTRICT MUNICIPALITY,FS163,MOHOKARE LOCAL MUNICIPALITY,41603004,4,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,XHARIEP,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,Z,OLIVIER,,METHODIST,STREET,METHODIST STREET,,MATLAKENG,ZASTRON,9950,"METHODIST STREET,MATLAKENG,ZASTRON,9950",P.O.BOX 100,"MATLAKENG,ZASTRON",9950,"P.O.BOX 100,MATLAKENG,ZASTRON,9950",,0824159501,Urban,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,FS,FS,445503170,445503170,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS45503170,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,,,,,,,,FALSE,,,,
