NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,GIS_InCorrect,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO
200100013,100013,2,EC,ADELAIDE PRIMARY SCHOOL,ADELAIDE,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,PRIMARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),074102,074102,TO BE UPDATED,99,NOT APPLICABLE,26.29388,-32.70782,NEIMS 2007,99,244,ADELAIDE,DC12,AMATOLE DISTRICT MUNICIPALITY,EC128,NXUBA LOCAL MUNICIPALITY,21208001,99,21701000,NONE,NOT APPLICABLE,FORT BEAUFORT,CIRCUIT 8,D.S,VAN HEERDEN,,GREY,STREET,GREY STREET,,LINGELETHU,ADELAIDE,5760,"GREY STREET,ADELAIDE,5760",P.O.BOX 7,ADELAIDE,5760,"P.O.BOX 7,ADELAIDE,5760",0466840161,0823201221,URBAN,YES,ABCD,,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1906,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,EC,EC,200100013,200100013,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC100013,0,TO BE UPDATED,TO BE UPDATED,264,10,248,11,270,10,277,10,,284,10,,296,9,,,,,TRUE,42,40,82,
200501564,501564,2,EC,ADVENT COMPREHENSIVE SCHOOL,ADVENT,OPEN,INDEPENDENT,ORDINARY SCHOOL,TO BE UPDATED,COMBINED SCHOOL,ORDINARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,4032025,ADVENT COMPREHENSIVE SCHOOL,,,GEOCODE 2010 GOOGLE EARTH,99,TO BE UPDA,TO BE UPDATED,DC44,ALFRED NZO DISTRICT MUNICIPALITY,EC441,MATATIELE LOCAL MUNICIPALITY,24401001,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MALUTI,LESEDI,THE,MANAGER,,,,,,,MALUTI,4740,,P.O.BOX 182,MALUTI,4740,"P.O.BOX 182,MALUTI,4740",0392560552,0823000020,TO BE UPDATED,YES,ABCD,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,EC,EC,200501564,200501564,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,289,21,466,21,164,14,207,13,,244,14,,397,18,,,,,TRUE,49,33,82,
200100024,100024,2,EC,ALEXANDRIA HIGH SCHOOL,ALEXANDRIA,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,COMBINED SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),094101,094101,TO BE UPDATED,4211001,ALEXANDRIA HOERSKOOL (21),26.40867,-33.65411,NEIMS 2007,99,50,ALEXANDRIA,DC10,CACADU DISTRICT MUNICIPALITY,EC105,NDLAMBE LOCAL MUNICIPALITY,21005002,2,20501000,NONE,NOT APPLICABLE,GRAHAMSTOWN,CIRCUIT 4,MR .C.C,GROBLER,,CORNER VOORTREKKER AND KROG,STREET,CORNER VOORTREKKER AND KROG STREET,ALEXANDRIA,,ALEXANDRIA,6185,"C/O VOORTREKKER AND KROG STREET,ALEXANDRIA,6185",P.O.BOX 43,ALEXANDRA,6185,"P.O.BOX 43,ALEXANDRA,6185",0466530126,0833312495,URBAN,YES,ABCD,,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1960,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,EC,EC,200100024,200100024,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC100024,0,TO BE UPDATED,TO BE UPDATED,467,14,466,15,462,18,564,17,,655,20,,638,23,,,,,TRUE,35,18,53,
200600013,600013,2,EC,ALIWAL NORTH PRIMARY SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,PRIMARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),214106,214106,TO BE UPDATED,99,NOT APPLICABLE,26.71472,-30.69833,NEIMS 2007,99,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT 2,GC,ENGELBRECHT,,BENSON,STREET,BENSON STREET,,,ALIWAL NORTH,9750,"BENSON STREET,ALIWAL NORTH,9750",P.O.BOX 202,ALIWALNORTH,9750,"P.O.BOX 202,ALIWALNORTH,9750",0516341827,,URBAN,YES,ABCD,,Y,UKHAHLAMBA,RURAL,01/01/1967,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,EC,EC,200600013,200600013,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC600013,0,TO BE UPDATED,TO BE UPDATED,672,26,643,27,716,29,713,29,,691,28,,696,28,,,,,TRUE,37,50,87,
500103600,103600,5,KZ,AS - SALAAM C,AS - SALAAM,OPEN,INDEPENDENT,ORDINARY SCHOOL,TO BE UPDATED,COMBINED SCHOOL,ORDINARY SCHOOL,TO BE UPDATED,TO BE UPDATED,DEPARTMENT OF EDUCATION AND TRAINING(DET),TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,30.54445,-30.29602,GEOCODE 2010 GOOGLE EARTH,99,36,EMZUMBE,DC21,UGU DISTRICT MUNICIPALITY,KZN211,VULAMEHLO LOCAL MUNICIPALITY,52101009,9,50113004,VONGUNZANA,UMGUNGUNDLOVU,PORT SHEPSTONE,SCOTTBURGH,THE,MANAGER,691,D,BLOCK,691 D BLOCK,VULAMEHLO RURAL,,VULAMEHLO,4202,"691 D BLOCK,VULAMEHLO RURAL,VULAMEHLO RURAL,VULAMEHLO,4202",P.O.BOX 11811,BRAEMAR,4202,"P.O.BOX 11811,BRAEMAR,4202",0399711711,0835786534,RURAL,NO,NONE,,Y,UGU,RURAL,01/01/1900,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,KZ,KZ,500103600,500103600,TO BE UPDATED,TO BE UPDATED,01/01/1900,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,266,14,333,17,280,14,288,16,,292,13,,268,18,,,,,TRUE,,56,56,
127333522,0127333522,1,WC,ASHTON SEK. SKOOL,ASHTON,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SECONDARY SCHOOL,TO BE UPDATED,PUBLIC,TO BE UPDATED,HOUSE OF REPRESENTATIVES(HOR),333522,3217,TO BE UPDATED,1318803,ASHTON SEK. SKOOL,20.04017,-33.8325,WCED,99,172,MONTAGU,DC2,CAPE WINELANDS DISTRICT MUNICIPALITY,WC026,BREEDE RIVER/WINELANDS LOCAL MUNICIPALITY,10206009,9,11001000,NONE,NOT APPLICABLE,CAPE WINELANDS,08,P,BUIS,,GLADIOLI ASHTON,AVENUE,GLADIOLI ASHTON AVENUE,,ZOLANI,ASHTON,6715,"GLADIOLI ASHTON AVENUE,ZOLANI,ASHTON,6715",P.O.BOX 94,ASHTON,6715,"P.O.BOX 94,ASHTON,6715",0236152027,0837384522,RURAL,YES,ABCDE,3,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,WC,WC,127333522,127333522,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0127333522,0,TO BE UPDATED,TO BE UPDATED,821,27,860,28,821,26,799,25,,810,25,,923,24,,,,,TRUE,26,25,51,
133312600,0133312600,1,WC,AURORA HS.,AURORA,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,INTERMEDIATE SCHOOL,TO BE UPDATED,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),312600,5510,TO BE UPDATED,99,NOT APPLICABLE,18.486049,-32.704545,WCED,99,70,PIKETBERG,DC1,WEST COAST DISTRICT MUNICIPALITY,WC013,BERGRIVIER LOCAL MUNICIPALITY,10103002,2,10301000,NONE,NOT APPLICABLE,WEST COAST,02,JP,VAN WYK,,"SKOOL ,AURORA",STREET,"SKOOL ,AURORA STREET",,,AURORA,7325,"SKOOL ,AURORA STREET,AURORA,7325",P.O.BOX 23,AURORA,7325,"P.O.BOX 23,AURORA,7325",0229521660,0730736302,RURAL,YES,ABCDE,3,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,WC,WC,133312600,133312600,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0133312600,0,TO BE UPDATED,TO BE UPDATED,208,9,189,8,202,8,221,9,,227,9,,215,10,,,,,TRUE,33,28,61,
700400194,400194,7,GT,AURORA PRIMARY INDEPENDENT SCHOOL,AURORA,OPEN,INDEPENDENT,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,NEW EDUCATION DEPARTMENT,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,28.39543,-26.00935,GDE2010,99,TO BE UPDA,TO BE UPDATED,EKU,EKHURULENI METROPOLITAN MUNICIPALITY,EKU,EKURHULENI METROPOLITAN MUNICIPALITY,79300018,18,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,EKURHULENI NORTH,NOT APPLICABLE,V,WALKER,14,BOB HERD,STREET,14 BOB HERD STREET,,DE KLERKSHOF,EDENVALE,1613,"14 BOB HERD STREET,DE KLERKSHOF,EDENVALE,1613",P.O.BOX 8812,EDENGLEN,1613,"P.O.BOX 8812,EDENGLEN,1613",0824268527,0824268527,URBAN,NO,NONE,,N,NOT APPLICABLE,NOT APPLICABLE,07/07/2007,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,GT,GT,700400194,700400194,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,101,6,,,126,6,165,7,,176,5,,156,6,,,,,TRUE,41,54,95,
600100059,100059,6,NW,BAKANG SELEBO PRIMARY SCHOOL,BAKANG SELEBO,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,PRIMARY SCHOOL,COMPREHENSIVE,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,25.661917,-25.939483,NEIMS 2007,99,5,MOLOPO,DC38,CENTRAL DISTRICT MUNICIPALITY,NW383,MAFIKENG LOCAL MUNICIPALITY,63803027,27,60811001,SETLOPO,NGAKA MODIRI MOLEMA,MAFIKENG,TSHWARANANG,MRS.D.M,TSELE,,SETLOPO,VILLAGE,SETLOPO VILLAGE,,SETLOPO,MAFIKENG,2745,"SETLOPO VILLAGE,SETLOPO,MAFIKENG,2745",P.O.BOX 5752,MAFIKENG,2745,"P.O.BOX 5752,MAFIKENG,2745",0183833453,0827162449,TO BE UPDATED,NO,NONE,2,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,NW,NW,600100059,600100059,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,NW100059,0,TO BE UPDATED,TO BE UPDATED,929,29,963,29,939,28,968,26,,1000,27,,1071,27,,,,,TRUE,4,3,7,
600104266,104266,6,NW,BATHO PELE COMPREHENSIVE,BATHO PELE,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SECONDARY SCHOOL,COMPREHENSIVE,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,9424259,NOT APPLICABLE,,,TO BE UPDATED,99,TO BE UPDA,NEBO,DC38,CENTRAL DISTRICT MUNICIPALITY,NW383,MAFIKENG LOCAL MUNICIPALITY,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NGAKA MODIRI MOLEMA,MAFIKENG,BOTSHABELO,THE,MANAGER,,,,,,,,2895,2895,P.O.BOX 101,SLURRY,2895,"P.O.BOX 101,SLURRY,2895",0186440221,0822028056,TO BE UPDATED,NO,NONE,1,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,NW,NW,600104266,600104266,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,975,31,950,32,1070,36,1120,30,,1145,35,,908,33,,,,,TRUE,265,280,545,
