NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,GIS_InCorrect,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO
700311704,311704,7,GT,ACTONVILLE TRAINING CENTRE,ACTONVILLE TRAINING,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,SEVERE MENTAL DISABILITY,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),917154,917154,TO BE UPDATED,99,NOT APPLICABLE,28.3564516667,-26.189441667,GDE2010,99,325,BENONI,EKU,EKHURULENI METROPOLITAN MUNICIPALITY,EKU,EKURHULENI METROPOLITAN MUNICIPALITY,79300073,73,60319023,RUSTENBURG NU,NOT APPLICABLE,EKURHULENI NORTH,NOT APPLICABLE,J,RATTAY,,CORNER MCALPINE AND DAVEYTON,ROAD,CORNER MCALPINE AND DAVEYTON ROAD,,RYNSOORD,BENONI,,"CORNER MCALPINE AND DAVEYTON ROAD,RYNSOORD,BENONI,",P.O.BOX 18121,ACTONVILLE,1506,"P.O.BOX 18121,ACTONVILLE,1506",0114232411,0825529478,URBAN,NO,NONE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,GT,GT,700311704,700311704,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,GP311704,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,538,34,,,,,,,,FALSE,,,,
700133652,133652,7,GT,ADELAIDE TAMBO SCHOOL,ADELAIDE TAMBO,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,SEVERE MENTAL DISABILITY,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),914001,914001,TO BE UPDATED,8133652,ADELAIDE TAMBO SCHOOL,27.8761933338,-26.2490533337,GDE2010,99,199,RANDFONTEIN,DC48,WEST RAND DISTRICT MUNICIPALITY,GT482,RANDFONTEIN LOCAL MUNICIPALITY,79400035,35,60319023,RUSTENBURG NU,NOT APPLICABLE,JOHANNESBURG CENTRAL,NOT APPLICABLE,NLH,MEMANI,3133B,DIOKANE,DRIVE,3133B DIOKANE DRIVE,,WHITE CITY,JABAVU,,"3133B DIOKANE DRIVE,WHITE CITY,JABAVU,",P.O.BOX 82424,SOUTHDALE,2135,"P.O.BOX 82424,SOUTHDALE,2135",0119844000,0832874748,URBAN,NO,NONE,,N,NOT APPLICABLE,NOT APPLICABLE,25/01/2000,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,GT,GT,700133652,700133652,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,GP133652,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,386,39,,,,,,,,FALSE,,,,
106494631,0106494631,1,WC,AGAPE,AGAPE,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,CEREBRAL PALSY & PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,494631,940,TO BE UPDATED,99,NOT APPLICABLE,18.62341791,-34.06364049,WCED,99,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100082,82,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,07,B.,LAMBERT,,CORNER SENTINEL AND YELLOWWOOD,ROAD,CORNER SENTINEL AND YELLOWWOOD ROAD,CAFDA,TAFELSIG,CAPE TOWN,7784,"CORNER SENTINEL AND YELLOWWOOD ROAD,CAFDA,TAFELSIG ,CAPE TOWN ,7784",P.O.BOX 23,MITCHELL'S PLAIN,7784,"P.O.BOX 23,MITCHELL'S PLAIN,7784",0213924162,0824077310,URBAN,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,WC,WC,106494631,106494631,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0106494631,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,217,19,,,,,,,,FALSE,,,,
113008387,0113008387,1,WC,AGULHAS SCHOOL OF SKILLS,AGULHAS,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION CENTRE,SCHOOL OF SKILLS,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,WESTERN CAPE EDUCATION DEPARTMENT,TO BE UPDATED,333654,TO BE UPDATED,99,NOT APPLICABLE,,,WCED,99,13,BREDASDORP,TO BE UPDATED,OVERBERG DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,UNKNOWN,NOT APPLICABLE,OVERBERG,01,A,BOTHA,,,STREET,STREET,,,NAPIER,7270,"STREET,NAPIER,7270",P.O.BOX 17,NAPIER,7270,"P.O.BOX 17,NAPIER,7270",0284233235,0823748973,RURAL,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,158,13,,,,,,,,FALSE,,,,
700400095,400095,7,GT,ALBERTINA SISULU SPECIAL SCHOOL,ALBERTINA SISULU,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INDUSTRIAL: CHILD WELFARE,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,912127,912127,TO BE UPDATED,99,NOT APPLICABLE,27.9169116666,-26.2268600002,GDE2010,99,322,SOWETO,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79400039,39,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG WEST,NOT APPLICABLE,BB,LUSHOZI,9394,MOPHIRING,STREET,9394 MOPHIRING STREET,ORLANDO,ORLANDO WEST,SOWETO,2013,"9394 MOPHIRING STREET,ORLANDO WEST,SOWETO,2013",P.O.BOX 90554,BERTSHAM,2013,"P.O.BOX 90554,BERTSHAM,2013",0119392454,0825574953,URBAN,NO,NONE,,N,NOT APPLICABLE,NOT APPLICABLE,03/11/2003,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,GT,GT,700400095,700400095,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,GP400095,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,205,15,,,,,,,,FALSE,,,,
200601153,601153,2,EC,ALIWAL NORTH AMASANGO CAREER SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,TO BE UPDATED,SPECIAL NEEDS EDUCATION SCHOOL,SPECIAL NEEDS EDUCATION,PUBLIC,TO BE UPDATED,TO BE UPDATED,214353,214353,TO BE UPDATED,99,NOT APPLICABLE,26.7055,-30.69535,NEIMS 2007,99,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT 2,MR .G,GELDENHUYS,18,MURRAY -OLD STATION BUILDING,STREET,18 MURRAY -OLD STATION BUILDING STREET,,,ALIWAL NORTH,9750,"MURRAY STREET,OLD STATION BUILDING,ALIWAL NORTH,9750",P.O.BOX 402,ALIWALNORTH,9750,"P.O.BOX 402,ALIWALNORTH,9750",0516342002,0828647564,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,,Y,UKHAHLAMBA,RURAL,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,EC,EC,200601153,200601153,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC601153,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,253,17,,,,,,,,FALSE,,,,
200600014,600014,2,EC,ALIWAL NORTH TECH ORIENT SCHOOL,ALIWAL NORTH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,MILD AND MODERATELY HANDICAPPED,PUBLIC,TO BE UPDATED,HOUSE OF REPRESENTATIVES(HOR),214378,214378,TO BE UPDATED,99,NOT APPLICABLE,26.71701,-30.69246,ECED2007,99,369,ALIWAL-NOORD/NORTH,DC14,UKHAHLAMBA DISTRICT MUNICIPALITY,EC143,MALETSWAI LOCAL MUNICIPALITY,21403004,4,22801000,NONE,NOT APPLICABLE,STERKSPRUIT,CIRCUIT 2,F,BROWN,,OLD LADY-GREY,ROAD,OLD LADY-GREY ROAD,,,ALIWAL NORTH,9750,"OLD LADY GREY ROAD,ALIWAL NORTH,9750",P.O.BOX 209,ALIWAL NORTH,9750,"P.O.BOX 209,ALIWAL NORTH,9750",0516332681,,RURAL,NOT APPLICABLE,NOT APPLICABLE,,Y,UKHAHLAMBA,RURAL,01/01/1906,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,EC,EC,200600014,200600014,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC600014,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,162,17,,,,,,,,FALSE,,,,
700230136,230136,7,GT,ALMASKOOL,ALMASKOOL,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,SEVERE MENTAL DISABILITY,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),903001,903001,TO BE UPDATED,99,NOT APPLICABLE,28.1965616665,-25.713086667,GDE2010,99,204,PRETORIA,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79600054,54,77612066,LUKASRAND,NOT APPLICABLE,TSHWANE NORTH,NOT APPLICABLE,ZB,BONDESIO,404,FRANZINA,STREET,404 FRANZINA STREET,,ELOFFSDAL,PRETORIA,0031,"404 FRANZINA STREET,ELOFFSDAL,PRETORIA,0031",P.O.BOX 24005,GEZINA,0031,"P.O.BOX 24005,GEZINA,0031",0123350252,0825572266,URBAN,NO,NONE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,GT,GT,700230136,700230136,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,GP230136,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,223,22,,,,,,,,FALSE,,,,
103484644,0103484644,1,WC,ALPHA SKOOL,ALPHA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,AUTISTIC SPECTRUM DISORDERS,PUBLIC,PUBLIC,TO BE UPDATED,484644,947,TO BE UPDATED,99,NOT APPLICABLE,18.45076525,-33.93539787,WCED,99,65,SIMONSTAD,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100057,57,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO CENTRAL,02,N.,KEARNS,84,PALMERSTON,ROAD,84 PALMERSTON ROAD,WOODSTOCK,WOODSTOCK,CAPE TOWN,,"84 PALMERSTON ROAD,WOODSTOCK,WOODSTOCK,CAPE TOWN ,",P.O.BOX 48,WOODSTOCK,7925,"P.O.BOX 48,WOODSTOCK,7925",0214471213,0835193953,URBAN,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,WC,WC,103484644,103484644,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0103484644,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,76,11,,,,,,,,FALSE,,,,
107315600,0107315600,1,WC,ALTA DU TOIT SKOOL,ALTA DU TOIT,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,TRAINING CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,TO BE UPDATED,TO BE UPDATED,315600,5976,TO BE UPDATED,99,NOT APPLICABLE,18.69771932,-33.92758596,WCED,99,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100011,11,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO EAST,01,M.J.,DU TOIT,,PIET FRANSMAN,STREET,PIET FRANSMAN STREET,,KUILSRIVER,CAPE TOWN,7580,"PIET FRANSMAN STREET,KUILSRIVER,CAPE TOWN ,7580",PRIVATE BAG X10,KUILSRIVER,7580,"PRIVATE BAG X10,KUILSRIVER,7580",0219034178,0836712195,URBAN,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,WC,WC,107315600,107315600,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0107315600,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,350,33,,,,,,,,FALSE,,,,
