NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,NEIMSEMISN,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO
100000005,,1,WC,ACVV KINDERSENTRUM (GERFIE),ACVV,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,WESTERN CAPE EDUCATION DEPARTMENT,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,18.722713,-33.46647,WCED,32,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,8,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,WEST COAST,01,,,N,O'KENNEDY,2,ALBANIE,STREET,2 ALBANIE STREET,,,MALMESBURY,,"2 ALBANIE STREET,MALMESBURY,",P.O.BOX 486,MALMESBURY,,"P.O.BOX 486,MALMESBURY,",0224823096,0847717799,RURAL,NO,TO BE UPDATED,TO BE UPDATED,N,NOT APPLICABLE,TO BE UPDATED,,,0,FALSE,FALSE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,,,,,35,,,186,12,46,,,,,,,FALSE,,,,
972201212,,9,LP,ADOLPHINA CRECHE,ADOLPHINA,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,CAPRICORN,BOCHUM EAST,,,THE,MANAGER,140,ARHEINLAND,FARM,140 ARHEINLAND FARM,,,POLOKWANE,,"140 ARHEINLAND FARM,POLOKWANE,",,,,,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,,,,,,,,35,2,,,,,,,,FALSE,0,,,
445202926,445202926,4,FS,ADONIA PRE-SCHOOL,ADONIA,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,26.72325,-29.21826,FSED 2007,358,BOTSHABELO,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702030,30,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MOTHEO,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,THE,KARLANA MOILOA,826,G,SECTION,826 G SECTION,,BOTSHABELO-G,BOTSHABELO,9781,"826 G SECTION,BOTSHABELO-G,BOTSHABELO,9781",POST OFFICE,BOTSHABELO,9781,"POST OFFICE,BOTSHABELO,9781",0515341025,0723731714,Urban,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,FS,FS,445202926,445202926,YES,TO BE UPDATED,FS45202926,TO BE UPDATED,,,,,,,,,,,,,,,,,,,FALSE,,,,
971101431,,9,LP,ADRONICA MOGAETSI PRE-PRIMARY,ADRONICA MOGAETSI,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,,,,,,,,,,,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,,,,,,,,40,4,,,,,,,,FALSE,,,,
700888033,888033,7,GT,AFFORDABLE PRESCHOOL,AFFORDABLE PRESCHOOL,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG EAST,NOT APPLICABLE,,,THE,MANAGER,11,ORCHARDJHB,ROAD,11 ORCHARDJHB ROAD,ORCHARD,,JOHANNESBURG,,"11 ORCHARDJHB ROAD,ORCHARD,,JOHANNESBURG,",,,,,0114438386,0785263428,URBAN,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,,,,,,,,375,12,46,,,,,,,FALSE,0,,,
443611801,443611801,4,FS,AFM LEBONE DAY CARE CENTRE,AFM LEBONE,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,27.8502,-26.84147,FSED 2007,329,SASOLBURG,DC20,FEZILE DABI DISTRICT MUNICIPALITY,FS204,METSIMAHOLO LOCAL MUNICIPALITY,42004011,11,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,FEZILE DABI,40,3/29/2012 3:37:03 PM,UNKNOWN,,TSOTETSI MM,3243,TAYLAR PARK,PARK,3243 TAYLAR PARK PARK,,ZAMDELA,SASOLBURG,9570,"3243 TAYLAR PARK PARK,ZAMDELA,SASOLBURG,9570",P.O.BOX 815,SASOLBURG,9570,"P.O.BOX 815,SASOLBURG,9570",0169741087,07352301,Urban,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,FS,FS,443611801,443611801,YES,TO BE UPDATED,FS43611801,TO BE UPDATED,,,,,,,,,,,,,,,,,,,FALSE,,,,
300075002,75002,3,NC,AGANANG,AGANANG,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC45,KGALAGADI DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHN TAOLO GAETSEWA,NOT APPLICABLE,,TO BE UPDATED,THE,MANAGER,,,,,,NO RESPONSE,KURUMAN,8460,"NO RESPONSE,KURUMAN,8460",P.O.BOX 939,KURUMAN,8476,"P.O.BOX 939,KURUMAN,8476",0537741244,0726127495,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,Y,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,0,FALSE,FALSE,NC,NC,300075002,300075002,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,32,2,32,,,,,,,FALSE,,,,
971104502,971104502,9,LP,AGANNANG PRE S,AGANNANG,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,ECD,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,27.38786,-24.57745,NEIMS 2007,8,THABAZIMBI,DC36,WATERBERG DISTRICT MUNICIPALITY,LIM361,THABAZIMBI LOCAL MUNICIPALITY,93601010,10,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,M L,MOTSHABI,1143,CHRIS HANI,STREET,1143 CHRIS HANI STREET,,REGOROGILE,THABAZIMBI,0380,"1143 CHRIS HANI STREET,,REGOROGILE,THABAZIMBI,0380",P.O.BOX 2510,BELA BELA,0380,"P.O.BOX 2510,BELA BELA,0380",,0733185086,TO BE UPDATED,NO,TO BE UPDATED,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NO,99,FALSE,FALSE,LP,LP,971104502,971104502,TO BE UPDATED,TO BE UPDATED,LP971104502,TO BE UPDATED,,,,,,,,,,96,6,,,,,,,,FALSE,,,,
971104201,971104201,9,LP,AGAPE,AGAPE,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,MODIMOLLE,TO BE UPDATED,MODIMOLLE LOCAL MUNICIPALITY,93605006,6,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,5291,MOROLO,STREET,5291 MOROLO STREET,,,MODIMOLLE,0510,"5291 MOROLO STREET,MODIMOLLE,0510",P.O.BOX  380,MODIMOLLE,0510,"P.O.BOX  380,MODIMOLLE,0510",,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,FALSE,FALSE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,EXACT PLOT,,,,,,,,,,213,12,2,,,,,,,FALSE,,,,
973306127,,9,LP,AGAPE DAY CARE CENTRE,AGAPE,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,VHEMBE,DZINDI,,,THE,MANAGER,,,,,,,,,,,,,,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,,,,,,,,80,4,,,,,,,,FALSE,0,,,
