NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,LURITS_Name,DoE_Status,LURITS_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,TYPE_LURITS,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,GIS_InCorrect,GISSource1,Latitude,Longitude,GISSource2,DRD_Code,DRD_DistanceMoved_Metres,GIS_InCorrect1,LongDIFF,LatDIFF,LongDIFFYN,LatDIFFYN,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,CloseDate1,CloseReason1,CloseDate2,CloseReason2,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,Snap_Learners_2013,Educator_Numbers_2013,GradeR_Lrns_2013,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO,Status_2007,Status_2008,Status_2009,Status_2010,Status_2011,Status_2012,Status_2013
200600095,600095,2,EC,CATHCART HIGH SCHOOL,CATHCART,CATHCART HIGH SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,COMBINED SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),114145,114145,TO BE UPDATED,4191008,CATHCART HIGH SCHOOL (19),27.14413,-32.29567,NEIMS 2007,99,DRD 2012,-32.2955622197,27.1436736705,,M,45,,0,0,0,0,240,CATHCART,DC12,AMATOLE DISTRICT MUNICIPALITY,EC124,AMAHLATHI LOCAL MUNICIPALITY,21204004,4,21304000,NONE,C,KING WILLIAMS TOWN,CIRCUIT 17,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,NG,HART,45,MERRIMAN,STREET,45 MERRIMAN STREET,,,CATHCART,5310,"45 MERRIMAN STREET,CATHCART,",P.O.BOX 73,CATHCART,5310,"P.O.BOX 73,CATHCART,5310",0458431130,0715149698,URBAN,YES,ABCD,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,,,,0,1,NOT MOVED,TO BE UPDATED,EC,EC,200600095,200600095,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC600095,0,TO BE UPDATED,TO BE UPDATED,538,21,515,23,554,26,581,24,,598,27,,654,33,,728,33,31,,,,1,135,97,232,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
200401091,401091,2,EC,COFFEE BAY CHRISTIAN COMPREHENSIVE SCHOOL,COFFEE BAY,COFFEE BAY CHRISTIAN COMPREHENSIVE SCHOOL,OPEN,OPEN,INDEPENDENT,ORDINARY SCHOOL,TO BE UPDATED,COMBINED SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,GEOCODE 2010 GOOGLE EARTH,99,DRD 2012,-31.981964541,29.1507968754,,M,5,,,,,,TO BE UPDA,TO BE UPDATED,DC15,OLIVER TAMBO DISTRICT MUNICIPALITY,EC157,KING SABATA DALINDYEBO LOCAL MUNICIPALITY,21507023,23,23603000,NONE,B,MTHATA,CIRCUIT 13,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,1,STAND,STREET,1 STAND STREET,,,COFFEE BAY,5082,"1 STAND STREET,COFFEE BAY,5082",P.O.BOX 7,COFFEEBAY,5082,"P.O.BOX 7,COFFEEBAY,5082",0475750015,0829288855,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,Y,O.R.TAMBO,NOT APPLICABLE,,,,,0,NOT MOVED,TO BE UPDATED,EC,EC,200401091,200401091,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,184,8,103,5,236,10,112,11,,93,7,,90,9,,,,,,,,,6,9,15,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
200500098,500098,2,EC,COLANA SENIOR SECONDARY SCHOOL,COLANA,COLANA SS SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SECONDARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,TRANSKEI,174121,174121,TO BE UPDATED,4021004,COLANA S.S. SCHOOL (02),29.05804,-30.64029,NEIMS 2007,99,DRD 2012,-30.6398411091,29.0579257522,,M,51,,0,0,0,0,233,KWABHACA/MT. FRERE,DC44,ALFRED NZO DISTRICT MUNICIPALITY,EC442,UMZIMVUBU LOCAL MUNICIPALITY,24402010,10,23818001,COLANA,A,MT FRERE,MKEMANE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,MISS.V.A,MAQHASHALALA,,COLANA,AGRICULTURAL AUTHORITY,COLANA AGRICULTURAL AUTHORITY,,,MOUNT FRERE,5090,"COLANA AGRICULTURAL AUTHORITY,MOUNT FRERE,5090",P.O.BOX 2,MOUNTFRERE,5090,"P.O.BOX 2,MOUNTFRERE,5090",,0822148469,RURAL,YES,ABCD,TO BE UPDATED,Y,ALFRED NZO,RURAL,01/01/1974,,,,1,NOT MOVED,TO BE UPDATED,EC,EC,200500098,200500098,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC500098,0,TO BE UPDATED,TO BE UPDATED,974,32,886,31,675,25,495,30,,447,27,,558,21,,510,24,,,,,,35,,35,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
200100131,100131,2,EC,COLLEGIATE GIRLS' HIGH SCHOOL,COLLEGIATE GIRLS',COLLEGIATE GIRLS' HIGH SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SECONDARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),184145,184145,TO BE UPDATED,4221012,COLLEGIATE GIRLS HIGH SCHOOL,25.58993,-33.94978,NEIMS 2007,99,DRD 2012,-33.949721173,25.5899485335,,M,7,,0,0,0,0,51,PORT ELIZABETH,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,29500007,7,27516059,MOUNT ROAD,C,PORT ELIZABETH,CIRCUIT 10,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,P.C,ELLIS,,KESTELL,STREET,KESTELL STREET,,PORT ELIZABETH,GREENACRES,6057,"KESTELL STREET,PORT ELIZABETH,GREENACRES,6057",P.O.BOX 27870,GREENACRES,6057,"P.O.BOX 27870,GREENACRES,6057",0413737705,,URBAN,YES,ABCD,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1965,,,,0,NOT MOVED,TO BE UPDATED,EC,EC,200100131,200100131,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC100131,0,TO BE UPDATED,TO BE UPDATED,736,44,737,44,715,45,728,43,,723,48,,715,47,,718,49,,,,,,80,,80,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
200100105,100105,2,EC,CAREL DU TOIT HIGH SCHOOL,CAREL DU TOIT,CAREL DU TOIT HIGH SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SECONDARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),084117,084117,TO BE UPDATED,4201004,CAREL DU TOIT HIGH SCHOOL (20),24.34174,-33.32816,NEIMS 2007,99,DRD 2012,-33.3283324332,24.34165745,,M,21,,0,0,0,0,166,STEYTLERVILLE,DC10,CACADU DISTRICT MUNICIPALITY,EC107,BAVIAANS LOCAL MUNICIPALITY,TO BE UPDATED,99,20702000,NONE,C,GRAAFF-REINET,CIRCUIT 2,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,MRS . H,STRYDOM,,MIDDLETON,STREET,MIDDLETON STREET,,,STEYTLERVILLE,,"MIDDLETON STREET,STEYTLERVILLE,",P.O.BOX 84,STEYTLERVILLE,6250,"P.O.BOX 84,STEYTLERVILLE,6250",0498350058,,URBAN,YES,ABCD,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1985,,,,,NOT MOVED,TO BE UPDATED,EC,EC,200100105,200100105,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC100105,0,TO BE UPDATED,TO BE UPDATED,285,7,277,7,271,9,291,10,,322,9,,314,11,,329,8,,,,,,10,16,26,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
200100244,100244,2,EC,GELVANDALE SENIOR SECONDARY SCHOOL,GELVANDALE,GELVANDALE SS  SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SECONDARY SCHOOL,ORDINARY SCHOOL,COMPREHENSIVE,PUBLIC,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),184197,184197,TO BE UPDATED,4221022,GELVANDALE SECONDARY SCHOOL (22),25.5559,-33.91045,NEIMS 2007,99,DRD 2012,-33.9097920448,25.5560788261,,M,75,,0,0,0,0,51,PORT ELIZABETH,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,29500010,10,27516032,HELENVALE,C,PORT ELIZABETH,CIRCUIT 7,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,DL,NICKALL,,MARTIN,,MARTIN STREET,,,GELVANDALE,6016,"MARTIN,GELVANDALE,",P.O.BOX 16262,GELVANDALE,6016,"P.O.BOX 16262,GELVANDALE,6016",0414561632,0827175039,URBAN,YES,ABCD,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1962,,,,,NOT MOVED,TO BE UPDATED,EC,EC,200100244,200100244,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC100244,0,TO BE UPDATED,TO BE UPDATED,1302,47,1309,46,1320,49,1299,48,,1252,47,,1273,49,,1284,49,,,,,,64,60,124,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
200100250,100250,2,EC,GILL COLLEGE SENIOR SECONDARY SCHOOL,GILL,GILL COLLEGE SS SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SECONDARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),084138,084138,TO BE UPDATED,4201007,GILL COLLEGE,25.58834,-32.72229,NEIMS 2007,99,DRD 2012,-32.722288777,25.5881801214,,M,15,,0,0,0,0,163,SOMERSET-OOS/EAST,DC10,CACADU DISTRICT MUNICIPALITY,EC102,BLUE CRANE ROUTE LOCAL MUNICIPALITY,21002002,2,20207000,NONE,C,GRAAFF-REINET,CIRCUIT 4,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,SG,ZIETSMAN,,COLLEGE,ROAD,COLLEGE ROAD,,SOMERSET EAST,SOMERSETEAST,5850,"COLLEGE ROAD,SOMERSET EAST,SOMERSETEAST,5850",P.O.BOX 196,SOMERSET EAST,5850,"P.O.BOX 196,SOMERSET EAST,5850",0422432643,0834565982,URBAN,YES,ABCD,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,,,,1,,NOT MOVED,TO BE UPDATED,EC,EC,200100250,200100250,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC100250,0,TO BE UPDATED,TO BE UPDATED,267,15,263,16,284,16,284,15,,299,15,,298,18,,307,17,,,,,,29,29,58,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
200100270,100270,2,EC,GRAEME COLLEGE BOYS' HIGH,GRAEME,GRAEME COLLEGE BOYS' HIGH,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,COMBINED SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),094141,094141,TO BE UPDATED,4211004,GRAEME COLLEGE BOY'S HIGH SCHOOL,26.52074,-33.29378,NEIMS 2007,99,DRD 2012,-33.29382695,26.5207257021,,M,5,,0,0,0,0,162,ALBANY,DC10,CACADU DISTRICT MUNICIPALITY,EC104,MAKANA LOCAL MUNICIPALITY,21004011,11,20403000,NONE,C,GRAHAMSTOWN,CIRCUIT 1,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,PA,REED,,TEMPLETON,DRIVE,TEMPLETON DRIVE,HLALANI,HLALANI VILLA,GRAHAMSTOWN,6140,"TEMPLETON DRIVE,HLALANI,HLALANI VILLA,GRAHAMSTOWN,6140",P.O.BOX 281,GRAHAMSTOWN,6140,"P.O.BOX 281,GRAHAMSTOWN,6140",0466227227,0828876149,URBAN,YES,ABCD,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1972,,,0,,NOT MOVED,TO BE UPDATED,EC,EC,200100270,200100270,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC100270,0,TO BE UPDATED,TO BE UPDATED,637,40,640,31,636,33,636,35,,643,37,,630,38,,612,37,,,,,,,122,122,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
200100277,100277,2,EC,GREY BOYS' HIGH SCHOOL,GREY BOYS,GREY BOYS'  HIGH SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SECONDARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),184206,184206,TO BE UPDATED,4221024,GREY BOYS SCHOOL,25.59555,-33.96091,NEIMS 2007,99,DRD 2012,-33.9612705338,25.5954554371,,M,41,,0,0,0,0,51,PORT ELIZABETH,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,29500003,3,27516083,ST GEORGES PARK,C,PORT ELIZABETH,CIRCUIT 7,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,NR,CRAWFORD,,COLLEGE,DRIVE,COLLEGE DRIVE,,PORT ELIZABETH,GREENACRES,6057,"COLLEGE DRIVE,PORT ELIZABETH,GREENACRES,6057",P.O.BOX 2,GREENACRES,6057,"PRIVATE BAG X0002,GREENACRES,6057",0413743300,0828820680,URBAN,YES,ABCD,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1917,,,,,NOT MOVED,TO BE UPDATED,EC,EC,200100277,200100277,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC100277,0,TO BE UPDATED,TO BE UPDATED,869,59,894,58,882,60,857,59,,879,58,,874,59,,863,58,,,,,,,136,136,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
200100278,100278,2,EC,GREY BOYS PRIMARY SCHOOL,GREY BOYS,GREY BOYS P SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,PRIMARY SCHOOL,ORDINARY SCHOOL,PRIMARY SUBJECTS,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),184207,184207,TO BE UPDATED,99,NOT APPLICABLE,25.59674,-33.96122,NEIMS 2007,99,DRD 2012,-33.9617865732,25.5967610591,,M,63,,0,0,0,0,51,PORT ELIZABETH,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NMA,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,29500003,3,27516083,ST GEORGES PARK,C,PORT ELIZABETH,CIRCUIT 9,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,LM,PEARSON,,COLLEGE,DRIVE,COLLEGE DRIVE,,PORT ELIZABETH,GREENACRES,6057,"COLLEGE DRIVE,PORT ELIZABETH,GREENACRES,6057",P.O.BOX0001,GREENACRES,6057,"PRIVATE BAG X0001,GREENACRES,6057",0413743303,0834551839,URBAN,YES,ABCD,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1929,,,,,NOT MOVED,TO BE UPDATED,EC,EC,200100278,200100278,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,EC100278,0,TO BE UPDATED,TO BE UPDATED,792,42,802,39,798,41,789,42,,801,41,,797,41,,802,41,,,,,,,34,34,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
