NatEmis,ProvinceCD,Province,Institution,Name,DoE_Status,LURITS_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,TYPE_LURITS,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,Latitude,Longitude,GISSource1,DRD_Code,DRD_DistanceMoved_Metres,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,Snap_Learners_2013,Educator_Numbers_2013,GradeR_Lrns_2013,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
445503397,4,FS,4-U PRE-SCHOOL,4-U,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,27.88099,-28.88672,FSED 2007,-28.88672,27.88099,FSED 2007,D,,340,FICKSBURG,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS191,SETSOTO LOCAL MUNICIPALITY,41901015,15,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,THABO MOFUTSANYANA,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,THE,MANAGER,18,SEMONIA,STREET,18 SEMONIA STREET,CALEDON  PARK,CALEDON  PARK,FICKSBURG,9730,"18 SEMONIA STREET,CALEDONPARK,FICKSBURG,9730",,"CALEDON-PARK,FICKSBURG",9730,"POST OFFICE,CALEDON-PARK,FICKSBURG,9730",,,Urban,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,
973306110,9,LP,AARON NEVHUTANDA PRE-PRIMARY,AARON NEVHUTANDA,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,VUWANI,0952,"VUWANI,0952",P.O.BOX 177,VUWANI,0952,"P.O.BOX 177,VUWANI,0952",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,489,6,,,,,,,,,,,
700700311,7,GT,ABALINDI DAY CARE CENTRE & PRE SCHOOL,ABALINDI DAY CARE CENTRE & PRE SCHOOL,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,NOT APPLICABLE,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,,,,,NOT APPLICABLE,,,GDE2010,,,,,,,,,TO BE UPDATED,,TO BE UPDATED,,,,,NOT APPLICABLE,EKURHULENI SOUTH,NOT APPLICABLE,,,,,259,,,HLAHLATSI SECTION,KATLEHONG,GERMISTON,EKURHULENI,1431,,P.O.BOX 12094,KATLEHONG,1432,TO BE UPDATED,0118602236,0730062183,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
971104208,9,LP,ABC IKAGENG PRE SCHOOL,ABC IKAGENG,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,284,12,1,,,,,,,,,,
975503215,9,LP,ABENEZA DAY CARE,ABENEZA,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MOPANI,NKOWANKOWA,,TO BE UPDATED,THE,MANAGER,,MOKGOLOBOTHO,VILLAGE,MOKGOLOBOTHO VILLAGE,LETABA,,,0870,"MOKGOLOBOTHO VILLAGE,LETABA,0870",P.O.BOX 1555,LETABA,0870,"P.O.BOX 1555,LETABA,0870",,0734070971,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,735,10,,,,,,,,,,,
800035649,8,MP,AD KIDS,AD KIDS,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,INDEPENDENT,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,,,1200,NELSPRUIT,,TO BE UPDATED,,TO BE UPDATED,,,,,EHLANZENI,NOT APPLICABLE,MBOMBELA,,,M,M MOODLEY,,,,89 CLIVIA STREET,VALENCIA PARK,NELSPRUIT,,1200,,P.O.BOX 3229,NELSPRUIT,1200,TO BE UPDATED,0137554831,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,25/02/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
200801547,2,EC,ADALIZWA DCC,ADALIZWA,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,FORT BEAUFORT,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,DEBENEK,,"DEBENEK,",P.O.BOX 12,DEBENEK,5604,"P.O.BOX 12,DEBENEK,5604",,0734996251,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,,,,,,,,,,,,,,,,,,,,,,,,,,
972201212,9,LP,ADOLPHINA CRECHE,ADOLPHINA,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,CAPRICORN,BOCHUM EAST,,,THE,MANAGER,140,ARHEINLAND,FARM,140 ARHEINLAND FARM,,,POLOKWANE,,"140 ARHEINLAND FARM,POLOKWANE,",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,35,2,,,,,,,,,0,,
971101431,9,LP,ADRONICA MOGAETSI PRE-PRIMARY,ADRONICA MOGAETSI,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,40,4,,,,,,,,,,,
443611801,4,FS,AFM LEBONE DAY CARE CENTRE,AFM LEBONE,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,27.8502,-26.84147,FSED 2007,-26.84147,27.8502,FSED 2007,D,,329,SASOLBURG,DC20,FEZILE DABI DISTRICT MUNICIPALITY,FS204,METSIMAHOLO LOCAL MUNICIPALITY,42004011,11,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,FEZILE DABI,CIRCUIT 40,3/29/2012 3:37:03 PM,UNKNOWN,,TSOTETSI MM,3243,TAYLAR PARK,PARK,3243 TAYLAR PARK,,ZAMDELA,SASOLBURG,9570,"3243 TAYLAR PARK PARK,ZAMDELA,SASOLBURG,9570",P.O.BOX 815,SASOLBURG,9570,"P.O.BOX 815,SASOLBURG,9570",0169741087,07352301,Urban,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
