NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,LURITS_Status,Sector,Type_DoE,Phase_DoE,TYPE_LURITS,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,Latitude,Longitude,GISSource2,DRD_Code,DRD_DistanceMoved_Metres,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,CloseDate1,CloseReason1,CloseDate2,CloseReason2,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,Snap_Learners_2013,Educator_Numbers_2013,GradeR_Lrns_2013,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO,Status_2007,Status_2008,Status_2009,Status_2010,Status_2011,Status_2012,Status_2013
100000224,0100000224,1,WC,KLOUTERWOUTER KLEUTERSKOOL,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,07,KUILSRIVIER,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO EAST,CIRCUIT 2,,,,,,,M,VAN SCHALKWYK,,,,ESSENHOUTSTRAAT 1,,BRACKENFELL,BRACKENFELL,,,P.O.BOX 1069,BRACKENFELL,7561,TO BE UPDATED,0219818272,0826761606,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
100000225,0100000225,1,WC,BAMBINO BEWAARSKOOL,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,07,KUILSRIVIER,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO EAST,CIRCUIT 2,,,,,,,T,SCHMIT,,,,GOEDEHOOPLAAN 6,,BRACKENFELL,BRACKENFELL,,,P.O.BOX 227,BRACKENFELL,7561,TO BE UPDATED,0219812434,0834573925,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000226,0100000226,1,WC,HOMPIE KEDOMPIE SPEELSKOOL,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,07,KUILSRIVIER,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO EAST,CIRCUIT 2,,,,,,,JM,LOURENS,,,,STASIEWEG 114,,BRACKENFELL,BRACKENFELL,,,P.O.BOX 186,BRACKENFELL,7560,TO BE UPDATED,0219818999,0833253296,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000227,0100000227,1,WC,SEEDS EDUCARE CENTRE,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,11,STRAND,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO EAST,CIRCUIT 6,,,,,,,M,VAN RENSBURG,,,,49 GORDONS BAY ROAD,,STRAND,STRAND,,,49 GORDONS BAY ROAD,STRAND,7151,TO BE UPDATED,0218535628,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000228,0100000228,1,WC,SOMERSET STRAND SHARE AND CARE,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,11,STRAND,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO EAST,CIRCUIT 6,,,,,,,J,TEMMERS,,,,38 GUSTROW AVENUE,,STRAND,STRAND,,,P.O.BOX 503,STRAND,7139,TO BE UPDATED,0218457304,0810479542,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000280,0100000280,1,WC,MOSSIENES KLEUTERSKOOL,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,17,SWELLENDAM,,OVERBERG,,SWELLENDAM,,,,,NOT APPLICABLE,OVERBERG,CIRCUIT 1,,,,,,,E.,MANHO,,,,PROTEALAAN 19,,SWELLENDAM,SWELLENDAM,,,P.O.BOX 171,SWELLENDAM,6740,TO BE UPDATED,0285143862,0799579131,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000281,0100000281,1,WC,THE STORK'S NEST,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,10,SOMERSET WEST,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO EAST,CIRCUIT 6,,,,,,,E.S.,MOSTERT,,,,34 OCEANVIEW ROAD,,SOMERSET WEST,SOMERSET WEST,,,34 OCEANVIEW ROAD,SOMERSET WEST,7130,TO BE UPDATED,0218514057,0845400500,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000282,0100000282,1,WC,SHUTTLE KIDZ PREPRIM,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,02,GOODWOOD,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO NORTH,CIRCUIT 4,,,,,,,M.,GOMES,,,,7 MONTE VISTA BOULEVARD,,MONTE VISTA,MONTE VISTA,,,7 MONTE VISTA BOULEVARD,MONTE VISTA,7460,TO BE UPDATED,0215586150,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000284,0100000284,1,WC,LITTLE GREENIES DAY CARE NR 1,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,05,WYNBERG,,CAPE WINELANDS,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO CENTRAL,CIRCUIT 6,,,,,,,N.,ABDULLA,,,,15 WILHELMUS ROAD,,GREENHAVEN,ATHLONE,,,15 WILHELMUS ROAD,GREENHAVEN,7764,TO BE UPDATED,0216370953,0829520448,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000285,0100000285,1,WC,LITTLE GREENIES DAY CARE NR 3,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,05,WYNBERG,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO CENTRAL,CIRCUIT 6,,,,,,,N,ABDULLA,,,,6 JERAM AVENUE,,RYLANDS,ATHLONE,,,6 JERAM AVENUE,RYLANDS ESTATE,7764,TO BE UPDATED,0216333999,0829520448,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
