NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,LURITS_Status,Sector,Type_DoE,Phase_DoE,TYPE_LURITS,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,Latitude,Longitude,GISSource2,DRD_Code,DRD_DistanceMoved_Metres,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,CloseDate1,CloseReason1,CloseDate2,CloseReason2,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,Snap_Learners_2013,Educator_Numbers_2013,GradeR_Lrns_2013,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO,Status_2007,Status_2008,Status_2009,Status_2010,Status_2011,Status_2012,Status_2013
100000073,,1,WC,BISHOPS SCHOOL OF SKILLS,BISHOPS,OPEN,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,SPECIAL NEEDS EDUCATION CENTRE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,WESTERN CAPE EDUCATION DEPARTMENT,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,-33.945884,18.582726,,D,,2,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,24,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT 6,,TO BE UPDATED,,,,,W,ABRAHAMS,,KOPPIESDAM,STREET,KOPPIESDAMSTRAAT,,BISHOP LAVIS,BELLVILLE,7490,"KOPPIESDAM STREET,BISHOP LAVIS,BELLVILLE,7490",KOPPIESDAMSTRAAT,BISHOP LAVIS,,"BISHOP LAVIS,",,0738888540,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,TO BE UPDATED,,NOT APPLICABLE,0,0,0,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,01/01/1900,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,103,,,,,,,,,,,,0,,,,,,,,,OPEN,,
100000119,,1,WC,OUDTSHOËRN SCHOOL OF SKILLS,OUDTSHOORN SCHOOL OF SKILLS,OPEN,CLOSED,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,,,,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,EDEN AND CENTRAL KAROO,CIRCUIT 5,,TO BE UPDATED,,,,,RG,BLOCK,,,,LANGENHOVENWEG 104,,OUDTSHOORN,OUDTSHOORN,,"OUDTSHOORN,OUDTSHOORN,",104 LANGENHOVENWEG,OUDTSHOORN,6625,"104 LANGENHOVENWEG,OUDTSHOORN,6625",0442727791,0836921656,RURAL,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,TO BE UPDATED,TO BE UPDATED,,NOT APPLICABLE,0,,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,01/01/1900,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101007546,0101007546,1,WC,DUNATOS PRIVAATSKOOL,RINGTINKEL,OPEN,OPEN,INDEPENDENT,SPECIAL NEEDS EDUCATION CENTRE,COMBINED SCHOOL,SPECIAL NEEDS EDUCATION CENTRE,SPECIFIC LEARNING DISABILITIES,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,-33.89162265,18.65398368,,D,,178,BELLVILLE,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100003,3,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO EAST,CIRCUIT 1,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,M.,STANDER,22,YSTERHOUT,STREET,OLD PAARL ROAD,,BLOEMENDAL,BELLVILLE,7530,"22 YSTERHOUT STREET,BLOEMENDAL,BELLVILLE,7530",P.O.BOX 6688,WELGEMOED,7530,"P.O.BOX 6688,WELGEMOED,7530",0219199585,0834092938,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,101007546,101007546,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,227,25,,,,,,,,,,,,,,,,,,,,OPEN,,
101301602,0101301602,1,WC,CAREL DU TOIT SENTRUM.,CAREL DU TOIT,OPEN,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,PRIMARY SCHOOL,SPECIAL NEEDS EDUCATION CENTRE,HEARING IMPAIRMENT,PUBLIC,TO BE UPDATED,TO BE UPDATED,301602,5892,TO BE UPDATED,99,NOT APPLICABLE,-33.91388395,18.61372319,,D,,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100010,10,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT 5,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,R,BOURNE,,FRANCIE VAN ZYL,DRIVE,CAREL DU TOIT SENTRUM,PAROWCENTRAL,TYGERBERG HOSPITAL,TYGERBERG,,"FRANCIE VAN ZYL DRIVE,PAROWCENTRAL,TYGERBERG HOSPITAL,TYGERBERG,",P.O.BOX 19130,TYGERBERG,7505,"P.O.BOX 19130,TYGERBERG,7505",0219385312,,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,101301602,101301602,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0101301602,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,171,22,,,,,,,,,,,,,,,,,,,,OPEN,,
101302204,0101302204,1,WC,WESTCLIFF SPESIALE SKOOL,WESTCLIFF,OPEN,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,COMBINED SCHOOL,SPECIAL NEEDS EDUCATION CENTRE,MILD AND MODERATELY HANDICAPPED,PUBLIC,PUBLIC,TO BE UPDATED,302204,5122,TO BE UPDATED,99,NOT APPLICABLE,-33.89785511,18.64452017,,D,,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100003,3,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO EAST,CIRCUIT 5,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,JS,VAN SCHALKWYK,,CORNER OLD PAARL,ROAD,OU PAARLWEG,CAFDA,AND BILL BEZUIDENHOUT,CAPE TOWN,,"CORNER OLD PAARL ROAD,CAFDA,AND BILL BEZUIDENHOUT,CAPE TOWN ,",P.O.BOX 328,BELLVILLE,7535,"P.O.BOX 328,BELLVILLE,7535",0219484877,0836597421,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,101302204,101302204,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0101302204,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,608,40,,,,,,,,,,,,,,,,,,,,OPEN,,
101305604,0101305604,1,WC,TYGERBERG HOSPITAALSKOOL,TYGERBERG,OPEN,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,HOSPITAL SCHOOL,SPECIAL NEEDS EDUCATION CENTRE,HOSPITAL SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,305604,5912,TO BE UPDATED,99,NOT APPLICABLE,-33.91031803,18.61305246,,D,,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100010,10,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT 5,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,SE,POTGIETER,4010,ROOM FLOOR E,,ADMIN GEBOU OOS HLG,PAROWINDUSTRIA,TYGERBERG HOSPITAL,TYGERBERG,7500,"4010 ROOM FLOOR E ,PAROWINDUSTRIA,TYGERBERG HOSPITAL,TYGERBERG,7500",ADMIN GEBOU OOS HLG,PAROW,7500,"POST OFFICE,PAROW,7500",0219385261,0824879458,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,101305604,101305604,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0101305604,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
101324612,0101324612,1,WC,ATHLONE SKOOL VIR BLINDES,ATHLONE  SCHOOL FOR THE BLIND,OPEN,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,COMBINED SCHOOL,SPECIAL NEEDS EDUCATION CENTRE,VISUAL IMPAIRMENT,PUBLIC,PUBLIC,TO BE UPDATED,324612,924,TO BE UPDATED,1342201,ATHLONE SKOOL VIR BLINDES,-33.91456472,18.65246278,,D,,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100009,9,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT 1,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,F.,FISHER,,ATHLONE,STREET,ATHLONESTRAAT,BELLVILLESOUTH,BEROMA GLENHAVEN,BELLVILLE SOUTH,7533,"ATHLONE STREET,BELLVILLESOUTH,BEROMA GLENHAVEN,BELLVILLE SOUTH,7533",PRIVATE BAG  X1,KASSELSVLEI,7533,"PRIVATE BAG  X1,KASSELSVLEI,7533",0219512234,0822953415,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,101324612,101324612,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0101324612,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,395,55,,,,,,,,,,,,,,,,,,,,OPEN,,
101324639,0101324639,1,WC,OASIS SKOOL,OASIS,OPEN,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,SPECIAL NEEDS EDUCATION CENTRE,INTELLECTUAL DISABILITY,PUBLIC,TO BE UPDATED,TO BE UPDATED,324639,968,TO BE UPDATED,99,NOT APPLICABLE,-33.94092791,18.63662898,,D,,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100012,12,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT 1,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,J.N.,HENKEMAN,,CARMEN,CLOSE,CARMENSLOT,BELHAR,BELHAR,CAPE TOWN,,"CARMEN CLOSE,BELHAR,BELHAR,CAPE TOWN,",P.O.BOX 10091,BELHAR,7493,"P.O.BOX 10091,BELHAR,7493",0219522100,0829598682,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,101324639,101324639,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0101324639,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,258,20,,,,,,,,,,,,,,,,,,,,OPEN,,
101324795,0101324795,1,WC,FLORIDA VAARDIGHEIDSKOOL,FLORIDA,OPEN,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,SPECIAL NEEDS EDUCATION CENTRE,MILD AND MODERATELY HANDICAPPED,PUBLIC,PUBLIC,TO BE UPDATED,324795,864,TO BE UPDATED,99,NOT APPLICABLE,-33.9229471,18.55331838,,D,,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100030,30,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT 5,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,C.A.,SMITH,,CORNER TEXEL & RICHMOND,ROAD,H/V RICHMOND EN TEXELSTRAAT,RUYTERWACHT,RUYTERWACHT,CAPE TOWN,,"CORNER TEXEL & RICHMOND ROAD,RUYTERWACHT,RUYTERWACHT,CAPE TOWN,",P.O.BOX 850,EPPINDUST,7475,"P.O.BOX 850,EPPINDUST,7475",0215350756,0824986700,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,101324795,101324795,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0101324795,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,241,17,,,,,,,,,,,,,,,,,,,,OPEN,,
101328529,0101328529,1,WC,CHERE BOTHA SKOOL,CHERE  BOTHA,OPEN,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,SPECIAL NEEDS EDUCATION CENTRE,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,328529,124,TO BE UPDATED,99,NOT APPLICABLE,-33.89002737,18.64236091,,D,,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100003,3,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT 7,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,J.L.,VAN DER WESTHUIZEN,73,VAN DER STEL,STREET,79 HERBERT STR,OAKDALE,OAKDALE,BELLVILLE,7530,"73 VAN DER STEL STREET,OAKDALE,OAKDALE,BELLVILLE,7530",HERBERT STRAAT 79,OAKDALE,7530,"POST OFFICE,OAKDALE,7530",0219489134,0826484215,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,101328529,101328529,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,WC0101328529,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,186,14,,,,,,,,,,,,,,,,,,,,OPEN,,
